municipality,cz,size
1100,1,712056
1202,2,124197
1203,3,60451
1204,4,148104
1205,5,41980
1206,6,85488
1207,7,73761
1208,8,56290
1209,9,6193
1210,10,38213
1211,11,18398
1212,12,12465
1213,13,71422
1214,14,20405
1215,10,12784
1216,15,8756
1217,1,41937
1218,15,6214
1219,16,12698
1220,17,11576
1221,18,14181
1222,10,5318
1223,19,15235
1224,1,34499
1225,15,19198
1226,15,8621
1227,15,1863
1228,20,12008
1229,21,11349
1230,5,21187
1231,1,24733
1233,5,14309
1234,1,19829
1235,1,22282
1236,2,16714
1303,1,7747
1304,22,1820
1331,23,4452
1332,23,2567
1333,2,2343
1334,2,2692
1337,2,10571
1343,2,1806
1345,2,8986
1346,24,9025
1347,24,3229
1361,25,4729
1362,25,2762
1363,25,2419
1364,25,2213
1367,26,1741
1370,27,3134
1371,27,5055
1391,28,865
1392,28,1620
1393,24,1455
1394,29,2757
1395,29,2142
1396,30,1189
1397,29,1268
1398,29,1461
1399,29,1714
1400,29,7620
1401,31,3349
1402,31,7298
1403,31,766
1404,31,631
1405,3,1459
1406,3,1898
1407,3,1853
1408,3,9478
1409,3,851
1423,1,3595
1424,15,3295
1425,15,1959
1427,9,3197
1428,9,5549
1429,9,7167
1430,10,2053
1431,15,1293
1432,15,3539
1433,20,2031
1434,20,1612
1436,15,1542
1437,20,1324
1438,20,2238
1452,4,3046
1453,4,3203
1454,4,3695
1455,4,2297
1456,4,1933
1457,4,3158
1458,4,3254
1459,4,5645
1460,21,5244
1461,21,2386
1462,21,1473
1463,21,1180
1464,17,2261
1465,17,1950
1468,18,2139
1469,18,2851
1470,32,595
1471,33,1233
1472,34,1097
1481,12,2705
1482,12,1875
1483,35,2096
1484,35,4463
1485,35,809
1486,36,1768
1487,36,2083
1511,37,1381
1512,37,2449
1513,37,1352
1514,38,5018
1516,14,2453
1517,39,2042
1518,40,1776
1519,40,1866
1520,36,1356
1543,11,10659
1544,11,3241
1545,41,7073
1546,41,2567
1547,41,2992
1549,8,3189
1550,8,1945
1552,8,3380
1555,42,10447
1559,42,5161
1560,43,1736
