municipality,cz,size
4563,98,2488
4564,98,7945
4565,98,4000
4566,98,4708
4567,98,2109
4581,98,6758
4582,107,2772
4601,100,6821
4602,100,2006
4603,100,5612
4604,100,3867
4605,100,2457
5201,108,120995
5202,109,22829
5203,110,17923
5204,111,28814
5205,112,19982
5206,108,13404
5207,113,15927
5208,114,17226
5209,111,18573
5303,111,3055
5321,115,10930
5322,111,5655
5323,115,3897
5324,115,1999
5325,111,3939
5326,115,3629
5327,115,1557
5341,109,3030
5342,109,5738
5343,109,2211
5344,109,3988
5345,109,3421
5346,109,2209
5347,109,2405
5361,108,6144
5362,108,4224
5363,108,3403
5364,108,2287
5365,108,7727
5366,108,2771
5367,108,3393
5368,108,1382
5381,108,4934
5382,108,3946
5401,112,5758
5402,112,2505
5403,112,6527
5404,112,3292
5405,112,2848
5406,112,3214
5407,112,2795
5408,112,3560
5409,116,2597
5410,112,4910
5421,114,2908
5422,114,5275
5423,117,6614
5424,114,3363
5425,117,5610
5426,117,6432
5427,114,4188
5428,114,2282
5429,114,3848
5430,117,2777
5431,114,3765
5432,114,4163
5433,114,3876
5441,113,4306
5442,110,7218
5443,110,5142
5444,110,3757
5445,113,6658
5446,110,2378
5447,110,2752
5461,113,5194
5462,113,4602
5463,113,9038
5464,113,1582
5465,113,1473
6201,118,109347
6202,119,42480
6203,120,44055
6204,120,45029
6205,121,18821
6206,118,19527
6207,118,17676
6208,118,14602
6209,119,16128
6210,118,26882
6211,118,19633
6212,122,11294
6213,119,17241
6301,118,6955
6302,118,5535
6321,118,10126
6322,118,3982
6323,118,5005
6324,118,5015
6341,122,4604
6361,121,3369
6362,123,5549
6363,121,3352
6364,121,5338
6365,121,2263
6366,121,3043
6367,121,3194
6381,119,13082
6382,119,9893
6401,124,5418
6402,119,8521
6403,119,4680
6421,120,3552
6422,120,8985
6423,120,5939
6424,120,4739
6425,120,4133
6426,120,3920
6427,120,3179
6441,125,5502
6461,120,9152
6462,120,3903
6463,120,2926
6464,120,3723
7201,126,118205
7202,127,53335
7203,128,135294
7204,129,146141
7205,130,20371
7206,131,21081
7207,132,27660
7208,127,16788
7209,131,17445
7210,128,16186
7301,126,6555
7302,126,4687
7303,126,5429
7304,126,9923
7305,126,11140
7306,126,5184
7307,126,2463
7308,126,9271
7309,126,3473
7321,128,5360
7322,128,3774
7323,128,9537
7324,128,4221
7325,128,4896
7326,128,4455
7341,132,2937
7342,132,5590
7343,132,2786
7344,132,3072
7361,133,6714
7362,133,4043
7363,134,1283
7364,135,425
7365,134,1063
7366,134,1587
7367,134,2848
7381,127,3447
7401,127,1908
7402,127,1781
7403,127,5007
7404,127,2464
7405,136,4782
7406,136,1416
7407,127,2020
7408,127,8386
7421,136,9492
7422,127,1862
7423,136,2534
7424,127,4552
7441,127,7532
7442,127,2831
7443,127,2159
7444,136,1298
7445,137,1709
7446,137,1035
7461,130,6670
7462,130,3227
7463,130,2719
7464,130,2935
7465,130,2172
7466,130,8310
7467,130,2224
7481,138,7598
7482,138,3331
7483,138,5286
7484,138,2361
7485,139,3519
7501,139,9896
7502,139,3651
7503,139,4215
7504,138,3540
7521,128,8528
7522,140,6336
7523,140,2646
7524,140,2970
7525,140,1310
7526,140,3392
7527,140,11764
7541,129,2376
7542,129,3594
7543,129,6885
7544,129,1739
7545,129,4184
7546,129,3375
7547,129,10038
7548,141,831
7561,131,3735
7562,131,5953
7563,131,6235
7564,131,3467
8201,142,98138
8202,143,85823
8203,144,54023
8204,145,24776
8205,144,21893
8206,146,29037
8207,147,22869
8208,148,22702
8209,142,13583
8210,149,15289
8211,150,18732
8212,143,16666
8213,142,47064
8214,143,14510
8215,143,21024
8216,142,13718
8217,150,33522
8218,145,19804
8219,144,23794
8220,144,58025
8301,142,4422
8302,142,16147
8303,144,7665
8304,144,9863
8305,142,6418
8306,142,5375
8307,142,3298
8308,142,2386
8309,142,8846
8321,142,12845
8322,142,6967
8323,142,1322
8324,146,10231
8341,142,13907
8342,142,18866
8343,142,3619
8344,151,12177
8345,151,4141
8346,151,2510
8347,151,2417
8361,143,5193
8362,143,3401
8363,143,2082
8364,151,11927
8381,143,5311
8401,152,5040
8402,152,12803
8403,152,4553
8404,153,5660
8405,153,18382
8406,153,17590
8407,153,16521
8421,153,8191
8422,153,2816
8423,153,10384
8424,152,5461
8425,152,6514
8441,148,6538
8442,144,6299
8443,144,17773
8445,144,9397
8446,148,3871
8447,148,4967
8448,148,3485
8449,148,5400
8461,144,8514
8462,144,3377
8463,144,12737
8464,144,10715
8465,144,4331
8482,150,11211
8483,150,5191
8501,146,7422
8502,146,7995
8503,146,9122
8504,146,3523
8505,146,7621
8521,149,11092
8522,149,3940
8523,149,10003
8541,145,20047
8542,154,3945
8543,145,14825
8544,145,6784
8546,145,12098
8561,150,13945
8563,150,12756
8564,148,7411
9201,147,184472
9202,155,70435
9203,156,36110
9204,155,35574
9205,156,40201
9206,157,9381
9207,157,24649
9208,147,61191
9209,158,28163
9210,159,23576
9211,147,15930
9212,159,23436
9301,147,12471
9302,147,5462
9303,147,3734
9304,147,13042
9321,156,3122
9322,156,4913
9323,157,1844
9341,158,8220
9342,158,10445
9343,158,8962
9344,158,5638
9345,147,8100
9361,147,16824
9362,147,8602
9363,147,6289
9364,145,9581
9365,156,11251
9366,155,8196
9367,156,8379
9368,156,6227
9382,157,1464
9383,157,6888
9384,147,6658
9385,147,10890
9386,147,11715
9387,147,5304
9401,160,5820
9402,160,9504
9403,160,6989
9404,160,3479
9405,159,2768
9406,159,7738
9407,159,12459
9409,159,15647
9410,159,4978
9421,155,12333
9422,155,5813
10201,161,122981
10202,161,98874
10203,162,54322
10204,162,51785
10205,163,60414
10206,164,20065
10207,163,32740
10208,165,20021
10209,166,26409
10210,167,21162
10211,167,19615
10301,165,3980
10302,165,5680
10303,161,7622
10304,161,5907
10305,161,3543
10306,161,4814
10307,162,5913
10308,162,1355
10309,162,1626
10321,161,8942
10322,161,2534
10323,161,6540
10324,161,12692
10341,165,5062
10342,165,1026
10343,165,2609
10344,161,4575
10345,161,5627
10361,166,5569
10362,166,3624
10363,167,10112
10364,168,1269
10365,168,487
10366,168,712
10381,167,2385
10382,167,5970
10383,167,2005
10384,167,6319
10401,167,7768
10421,165,8581
10422,165,1185
10423,165,6974
10424,169,3029
10425,169,5400
10426,169,4452
10427,169,961
10428,165,1678
10441,164,1417
10442,164,2435
10443,164,2637
10444,164,1618
10445,164,4571
10446,164,3780
10447,164,3860
10448,164,3497
10461,162,5832
10462,162,7293
10463,162,13492
10464,161,9968
10481,163,6561
10482,163,11789
10483,162,7086
10484,162,9722
10501,162,9978
10521,163,7056
10522,163,4551
10523,163,4911
10524,163,18622
10525,163,10982
11201,170,127531
11202,171,62647
11203,172,199860
11204,172,178734
11205,172,169362
11206,173,34695
11207,174,25087
11208,175,125610
11209,175,29584
11210,173,23617
11211,166,25392
11212,170,34216
11213,176,44743
11214,176,78034
11215,175,63939
11216,173,22428
11217,173,29569
11218,171,40301
11219,172,83130
11220,172,34676
11221,177,92724
11222,176,121365
11223,172,34286
11224,172,41318
11225,175,54766
11226,172,25758
11227,178,46559
11228,178,26783
11229,177,24414
11230,178,60362
11231,172,29075
11232,154,26813
11233,172,26285
11234,177,32694
11235,178,41585
11236,178,26490
11237,176,54671
11238,172,24294
11239,170,37425
11240,154,21797
11301,172,11352
11304,173,11318
11322,178,16786
11324,178,15127
11326,170,14972
11327,170,5198
11328,170,24891
11329,175,21137
11330,175,979
11341,170,5037
11342,170,7519
11343,170,13756
11344,170,3455
11345,170,2309
11346,170,9189
11347,170,8117
11348,170,6133
11361,174,4115
11362,174,5270
11363,174,3850
11364,174,2717
11365,174,5133
11366,174,1427
11367,174,932
11368,174,2662
11369,170,1823
11381,166,4865
11382,166,8246
11383,166,5239
11384,166,538
11385,166,10618
11401,171,3135
11402,171,4867
11403,171,12334
11405,171,7799
11406,171,5230
11407,171,4973
11408,171,13828
11421,173,7994
11422,173,1606
11423,173,3393
11424,145,4746
11425,154,5951
11442,176,13185
11445,172,15647
11446,154,9235
11461,154,8469
11462,154,12103
11464,176,16482
11465,176,9889
11466,176,20305
11468,176,15043
12201,177,343701
12202,179,37069
12203,177,197192
12204,177,228582
12205,180,24431
12206,181,52154
12207,177,197714
12208,182,46656
12209,183,21463
12210,184,36244
12211,183,38157
12212,185,57575
12213,186,19410
12214,179,14335
12215,179,17414
12216,177,63930
12217,177,125307
12218,184,9727
12219,181,108901
12220,177,55598
12221,185,62518
12222,177,48393
12223,180,13743
12224,177,39377
12225,181,38802
12226,181,23915
12227,177,50680
12228,185,28799
12303,182,12166
12305,177,16397
12322,185,7474
12323,185,21465
12324,183,17916
12325,185,3399
12326,177,14636
12327,187,15806
12328,187,2056
12329,187,8118
12341,183,3220
12342,183,2576
12343,183,5608
12344,183,10908
12345,183,5593
12346,183,2717
12347,183,8432
12348,179,4033
12349,153,7386
12361,179,4795
12362,179,4993
12381,179,5180
12382,179,4429
12402,186,13677
12403,186,8075
12404,186,9394
12405,185,5877
12406,186,2038
12407,186,5104
12408,186,6333
12409,183,4022
12421,184,4856
12422,184,3469
12423,184,4742
12424,184,5263
12426,184,3521
12427,184,4968
12441,184,5539
12442,184,3524
12443,184,3106
12444,184,8976
12445,184,5791
12461,180,2631
12462,180,2883
12463,180,4839
12464,180,2005
12465,180,3024
12466,180,6062
12467,180,3009
12468,180,2977
12472,180,3653
12481,181,21965
13101,177,19100
13102,177,34092
13103,177,75727
13104,177,136484
13105,177,81835
13106,177,77777
13107,177,108633
13108,177,183266
13109,177,163290
13110,177,116192
13111,177,309658
13112,177,354784
13113,177,96562
13114,177,146973
13115,177,242331
13116,177,121543
13117,177,162366
13118,177,87338
13119,177,237733
13120,177,271661
13121,177,289235
13122,177,199285
13123,177,262974
13201,188,185332
13202,189,64305
13203,177,61191
13204,177,73604
13205,189,52919
13206,190,91192
13207,189,45430
13208,190,86412
13209,191,138370
13210,177,45478
13211,192,67728
13212,188,69384
13213,192,56037
13214,190,43268
13215,190,27491
13216,192,32294
13217,192,41118
13218,189,25586
13219,190,32446
13220,192,31982
13221,192,28212
13222,192,48155
13223,189,27815
13224,190,56503
13225,190,25038
13226,189,20423
13302,189,23286
13303,189,13365
13305,189,6127
13306,189,8668
13307,189,1534
13308,189,3543
13361,193,4027
13362,194,161
13363,195,1409
13364,196,912
13381,197,1636
13382,198,96
13401,199,3885
13402,200,112
13421,201,1000
14100,177,1382321
14130,177,539621
14201,202,171051
14203,203,103648
14204,203,70520
14205,203,146068
14206,204,84239
14207,203,81242
14208,202,22507
14209,191,227255
14210,202,21886
14211,204,63092
14212,191,83648
14213,191,85825
14214,191,37946
14215,191,44582
14216,191,49083
14217,204,18563
14218,191,33050
14301,202,11237
14321,203,19448
14341,203,12574
14342,203,11575
14361,204,4443
14362,204,6456
14363,204,5800
14364,204,6264
14366,204,5276
14382,204,10970
14383,204,4172
14384,204,12292
14401,191,18192
14402,191,1553
14421,191,8559
14422,191,11330
14423,188,4070
14424,188,4242
15201,205,206250
15202,206,82956
15204,207,40173
15205,208,39541
15206,205,34171
15207,205,27305
15208,206,20277
15209,207,16247
15210,209,20815
15211,206,20243
15212,210,13712
15213,211,23818
15215,206,13084
15216,212,15325
15217,213,12816
15218,214,18157
15219,215,9407
15220,205,16899
15221,205,20079
15222,213,55780
15301,205,4883
15302,205,3636
15303,205,8973
15304,205,4498
15306,205,4891
15307,205,5711
15308,205,3452
15309,205,3791
15310,210,12851
15311,210,2907
15321,205,4709
15322,214,9431
15323,205,4251
15324,205,13325
15341,211,4387
15342,211,3725
15343,211,7411
15344,211,11050
15345,211,13112
15346,211,5067
15347,205,10339
15348,205,2274
15349,211,2709
15350,205,1807
15351,211,3030
15361,207,5765
15362,207,6126
15363,207,5452
15364,206,5667
15381,214,2544
15382,214,1436
15383,214,1741
15384,214,2077
15401,206,6481
15402,206,3059
15403,206,3499
15404,211,2492
15405,208,2821
15406,211,5761
15421,206,1334
15441,206,2916
15442,216,4693
15443,216,5927
15444,216,3120
15445,216,4226
15446,216,2560
15447,216,1098
15461,217,4940
15462,217,9361
15463,217,13171
15464,217,6638
15481,209,4159
15482,209,6004
15483,209,3092
15501,208,1549
15502,206,4089
15504,208,2621
15505,208,3535
15521,218,2222
15522,218,2109
15523,219,2370
15524,219,2067
15525,218,1516
15526,213,1892
15541,213,5682
15542,213,4752
15543,213,3522
15544,213,2958
15545,213,3128
15546,213,2615
15547,213,3045
15548,213,4008
15549,213,1509
15550,213,2765
15561,213,1828
15562,212,5664
15563,212,4515
15581,210,3714
15582,210,5107
15583,210,4950
15584,210,5984
15585,125,3734
15586,220,268
15601,215,5022
15602,215,4529
15603,215,3476
15604,215,2380
15605,215,2637
15606,215,3113
15607,221,2022
15608,221,2514
15609,221,1736
16201,222,140309
16202,223,78497
16203,223,17434
16204,224,23618
16205,223,27501
16206,224,14463
16207,224,17559
16208,223,17235
16209,223,16878
16301,222,9778
16302,222,5250
16321,222,707
16322,222,11371
16323,222,13173
16341,224,3805
16342,224,14193
16343,224,8092
16361,222,10521
16362,222,12719
16363,222,1048
16364,222,1112
16381,223,13301
16382,223,5724
16383,223,940
16384,223,3899
16401,223,5416
16402,225,766
16403,225,623
16404,226,631
16405,223,3540
16406,223,5304
16407,223,676
16408,223,7405
16421,223,10810
16422,223,5869
17201,227,188903
17202,228,23096
17203,229,47686
17204,230,13789
17205,230,10530
17206,229,33331
17207,228,12497
17208,227,25172
17301,229,5933
17321,229,6816
17322,229,6566
17323,229,5107
17324,227,2037
17342,227,5280
17343,227,8945
17344,227,15743
17345,227,522
17346,227,711
17347,227,1687
17348,227,441
17349,231,646
17361,227,11934
17362,227,5301
17363,227,5481
17364,227,5378
17365,227,10861
17382,228,5104
17383,228,3445
17384,228,8270
17385,228,4278
17401,228,2981
17402,228,2717
17403,228,4064
17404,228,4343
17405,228,1830
17406,228,2495
17421,230,5705
17422,230,4464
17423,230,5951
17424,230,2361
17441,230,3853
18201,231,114233
18202,232,30562
18203,233,33069
18204,234,14789
18205,235,19665
18206,231,14376
18207,233,29577
18302,231,2771
18321,231,4367
18322,231,3216
18323,231,1675
18342,235,410
18361,231,10788
18362,231,7196
18363,231,8577
18364,231,13738
18365,231,9777
18366,231,5767
18381,233,7195
18382,233,2022
18401,233,2642
18402,233,2697
18403,233,1282
18421,233,3987
18422,233,1978
18423,233,3276
18424,231,911
18425,233,2593
18426,231,4467
18441,232,4438
18442,232,6025
18461,234,3647
18462,234,1378
18481,234,5469
18482,234,3851
19201,236,84262
19202,237,23582
19203,238,11488
19204,237,13173
19205,238,13112
19206,237,13793
19207,239,13017
19301,236,2783
19302,238,3107
19303,238,610
19304,238,3914
19305,238,834
19321,236,9643
19322,236,5123
19323,236,4664
19324,236,3357
19325,236,2066
19326,236,2393
19327,240,349
19328,236,1583
19341,241,812
19342,242,1973
19343,242,5330
19344,242,1994
19345,242,2905
19361,236,5995
19362,236,2203
19363,242,2273
19364,242,922
19365,242,3771
19366,243,2895
19367,243,2077
19381,236,14813
19382,236,7007
19383,236,3639
19384,236,5899
19385,236,5977
19386,236,2790
19387,236,7699
19388,236,254
19389,236,4119
19390,236,7809
19391,236,5424
19401,236,3885
19402,239,2166
19403,239,3727
19404,239,4195
19405,239,4045
19406,239,1712
19407,239,2377
19408,239,1972
19409,239,1640
19421,188,998
19422,244,966
19423,237,1924
19424,237,3313
19425,237,2330
19426,237,7375
19427,237,991
19428,237,742
19429,237,1248
19441,188,10142
19442,245,543
19443,245,425
20201,246,153366
20202,247,87455
20203,248,52296
20204,249,27341
20205,250,42541
20206,249,24790
20207,246,24202
20208,251,20068
20209,252,28213
20210,252,15518
20211,253,19869
20212,254,14898
20213,253,13667
20214,249,24037
20215,247,26474
20216,255,16486
20217,251,27606
20301,251,7053
20302,251,4000
20303,256,2982
20304,257,2520
20305,257,1867
20306,256,688
20307,256,580
20308,251,2307
20321,251,7231
20322,251,5214
20323,251,5443
20324,251,4245
20325,251,2801
20326,248,2480
20341,248,11834
20342,248,2461
20343,248,10850
20345,248,4996
20346,248,1994
20347,248,1301
20349,248,2439
20361,249,11763
20362,249,7252
20363,249,3379
20381,252,3738
20382,249,10937
20383,252,10826
20384,252,5371
20385,252,4850
20386,252,2704
20387,252,1121
20388,252,3647
20402,252,6738
20403,250,5964
20404,258,3066
20405,250,6693
20406,250,405
20407,250,2962
20408,250,340
20409,259,250
20410,259,766
20411,250,1983
20412,258,398
20413,260,1195
20414,258,1151
20415,250,3312
20416,250,3606
20417,261,945
20418,260,558
20419,260,1144
20421,262,4075
20422,262,2924
20423,263,2615
20424,247,1858
20425,262,2130
20426,262,1219
20427,262,918
20428,262,950
20429,262,571
20430,263,2200
20431,264,903
20441,247,4699
20443,247,3042
20444,265,1168
20445,265,1177
20446,265,1800
20447,265,911
20448,247,1316
20449,247,5919
20450,247,3169
20451,247,2205
20461,247,11680
20462,247,11589
20463,266,608
20464,266,1421
20465,247,4617
20466,247,6815
20467,247,3542
20481,254,4823
20482,254,3924
20483,254,662
20484,254,682
20485,254,3760
20486,254,2229
20501,255,3401
20502,267,950
20521,255,7939
20522,255,8095
20541,246,5533
20543,246,3568
20561,253,8663
20562,253,2785
20563,253,2090
20581,267,3461
20582,246,4552
20583,246,5579
20584,246,3372
20585,246,3005
20586,246,2838
20587,246,1449
20588,246,2056
20589,246,1565
20601,253,2691
20602,209,1471
21201,268,176986
21202,269,64459
21203,270,29173
21204,271,40527
21205,272,29176
21206,264,23497
21207,272,11158
21208,271,17719
21209,268,28211
21210,264,15535
21211,273,18687
21212,271,31129
21213,268,53680
21214,273,33144
21301,274,3872
21302,268,9267
21303,268,9383
21304,268,4561
21321,275,5946
21322,275,3567
21323,275,7262
21341,269,13473
21342,269,3123
21361,269,12015
21362,269,4253
21381,269,9055
21382,269,3477
21383,269,6768
21384,269,2193
21401,276,8378
21402,268,1826
21403,268,8960
21404,269,9417
21405,276,1000
21406,276,747
21407,276,188
21408,276,381
21421,268,6676
21422,268,3462
21423,268,12235
21424,268,4227
21425,268,4177
21426,268,5281
21427,277,1455
21441,268,7296
21442,268,1266
21443,278,4103
21461,278,1022
21462,278,848
21463,272,2659
21464,272,1971
21465,272,1204
21481,279,7206
21482,279,2780
21483,279,5419
21484,279,1641
21485,279,2089
21486,279,938
21487,280,1135
21501,273,3559
21502,272,2521
21503,273,4622
21504,273,2497
21505,273,6388
21506,281,4893
21507,281,1506
21521,273,7779
21523,273,780
21541,271,6476
21561,264,2690
21562,264,417
21563,281,1654
21564,264,2841
21565,264,3063
21566,264,1754
21567,264,2505
21568,271,2728
21569,271,3583
21570,271,568
21571,271,1352
21581,282,5248
21582,282,1950
21583,282,7543
21584,280,3658
21585,282,643
21601,270,2292
21602,270,1298
21603,279,746
21604,225,926
21605,270,1117
21606,270,2010
21607,270,1028
21608,283,392
21621,270,7451
21622,270,3532
21623,270,778
21624,270,605
21625,284,5880
21626,284,2139
22201,285,209836
22202,286,243831
22203,287,96105
22204,243,107777
22205,204,22204
22206,287,45632
22207,243,51348
22208,288,31586
22209,285,34590
22210,243,101407
22211,286,38606
22212,285,51444
22213,289,33431
22214,285,53067
22215,287,35647
22216,286,24770
22217,286,10473
22218,286,35963
22219,288,13240
22220,287,22096
22221,286,21786
22301,288,7702
22302,288,3879
22304,288,4700
22305,290,3873
22306,290,3895
22307,290,1634
22321,287,7125
22322,287,8098
22323,291,1894
22324,290,2764
22325,287,15055
22326,287,8137
22327,287,7179
22328,287,3827
22329,287,3357
22341,287,12731
22342,287,15150
22344,287,10092
22361,243,4337
22381,243,7435
22382,243,6785
22383,243,4927
22401,285,6172
22402,285,10168
22421,289,5505
22422,289,12874
22423,285,11966
22424,285,12451
22425,285,10256
22426,285,3335
22427,285,3262
22428,285,1965
22442,286,5708
22444,289,11533
22445,289,6462
22446,289,14060
22447,289,10081
