municipality,cz,size
1100,1,696831
1202,2,107700
1203,3,51804
1204,4,134420
1205,5,35012
1206,6,68304
1207,7,68491
1208,8,43540
1209,1,4553
1210,9,30607
1211,10,16842
1212,11,11745
1213,12,65490
1214,13,17998
1215,9,10352
1216,14,6614
1217,1,42206
1218,14,4699
1219,15,11242
1220,16,9670
1221,17,10527
1222,9,3736
1223,18,13483
1224,12,34796
1225,14,17881
1226,14,7275
1227,14,1625
1228,19,10388
1229,20,10720
1230,5,18829
1231,12,25037
1233,5,13202
1234,1,21709
1235,1,22889
1303,1,7241
1304,1,1592
1331,21,3703
1332,21,1913
1333,2,2099
1334,2,2073
1335,2,14114
1336,2,4346
1337,2,10416
1343,2,1730
1345,2,7655
1346,22,8415
1347,22,2570
1361,23,3898
1362,23,2231
1363,23,1962
1364,23,1670
1367,24,1496
1370,25,2743
1371,25,4141
1391,26,668
1392,26,1414
1393,26,1330
1394,27,2349
1395,27,2095
1396,27,1121
1397,27,1188
1398,27,1252
1399,27,1492
1400,27,7213
1401,28,3095
1402,28,6101
1403,28,705
1404,28,452
1405,3,1083
1406,3,1510
1407,3,1698
1408,3,8448
1409,3,650
1421,9,1588
1422,9,2670
1423,1,3841
1424,14,2489
1425,14,1335
1427,1,2837
1428,1,5472
1429,1,5988
1430,9,1632
1431,14,1063
1432,14,3072
1433,19,1617
1434,19,1278
1436,14,1148
1437,19,1036
1438,19,1742
1439,29,843
1452,4,2986
1453,4,3669
1454,4,3101
1455,4,1912
1456,4,1508
1457,4,2326
1458,4,3303
1459,4,4842
1460,20,4991
1461,20,2536
1462,20,1185
1463,20,819
1464,16,1818
1465,16,1672
1467,17,2113
1468,17,1596
1469,17,2230
1470,30,412
1471,30,907
1481,11,2203
1482,11,1709
1483,31,1669
1484,31,3540
1485,31,576
1486,32,1453
1487,32,1811
1488,32,1296
1511,33,1388
1512,33,2122
1513,33,914
1514,34,3292
1515,34,960
1516,13,2154
1517,35,1685
1518,36,1293
1519,36,1579
1541,10,1195
1542,10,2551
1543,10,9400
1544,10,2466
1545,37,6351
1546,37,2099
1547,37,2606
1548,8,2273
1549,8,2750
1550,8,1444
1551,8,3293
1552,38,2839
1553,38,2175
1555,39,8905
1558,39,2402
1559,39,2099
1560,15,1303
1561,15,2114
1562,15,501
1563,15,2622
1571,5,1802
1572,5,3671
1573,5,885
1574,5,659
1575,5,1411
1578,5,7950
1579,12,2152
1580,12,1473
1581,12,2357
1582,12,3079
1583,40,1519
1601,41,887
1602,42,2650
1603,42,5677
1604,43,2581
1605,43,8972
1606,43,2029
1607,43,6939
1608,43,2279
1609,44,2501
1631,7,17247
1632,7,3086
1633,7,2386
1634,7,2629
1635,7,3008
1636,7,4385
1637,7,7914
1638,7,1745
1639,7,1528
1640,45,799
1641,45,2949
1642,45,3421
1643,7,10451
1644,7,3247
1645,46,1662
1646,47,3818
1647,47,3588
1648,47,1164
1649,46,2629
1661,6,8757
1662,48,5904
1663,48,3196
1664,49,3907
1665,49,3941
1666,6,2876
1667,6,1025
1668,6,4085
1669,6,936
1691,50,7410
1692,50,10615
1693,50,2649
1694,51,2983
2201,52,121879
2202,53,69607
2203,54,96592
2204,53,16711
2205,55,23574
2206,56,30255
2207,56,17481
2208,57,24143
2209,55,15939
2301,52,5876
2303,52,1175
2304,52,1402
2307,52,2824
2321,55,4838
2323,55,4039
2341,53,5663
2342,53,2108
2343,53,711
2361,53,7327
2362,53,5083
2363,53,4461
2365,53,10104
2367,53,3918
2368,53,1229
2381,55,7422
2384,55,6516
2387,55,4714
2401,56,6120
2402,56,7737
2403,54,4317
2405,56,4667
2406,57,2149
2408,56,8716
2410,56,6002
2411,56,5520
2423,57,2249
2424,57,3265
2425,57,947
2426,57,980
2441,54,5334
2442,54,9012
2443,54,3208
2444,54,3805
2445,54,2587
2446,54,5698
2447,54,2972
2450,54,1528
3201,58,117752
3202,59,22581
3203,60,17745
3204,61,25578
3205,62,31213
3206,61,41555
3207,63,14023
3208,62,14363
3209,61,53874
3210,60,9804
3211,59,15968
3212,61,14748
3213,64,11618
3214,58,13916
3301,58,8827
3302,65,3288
3303,58,7289
3305,58,22646
3307,58,5987
3321,58,15113
3322,58,12032
3341,62,2911
3342,62,6967
3361,62,4617
3363,66,1512
3365,66,1615
3381,61,7497
3382,61,6912
3383,61,8151
3384,61,2342
3402,61,3900
3422,61,4337
3441,60,2837
3461,59,6012
3482,59,7265
3483,67,4346
3484,67,1554
3485,63,1343
3487,59,1233
3501,64,4547
3502,54,4721
3503,63,1919
3504,63,1231
3505,64,2233
3506,64,3188
3521,64,2338
3524,64,6543
4100,68,384713
4202,69,64856
4203,68,23174
4204,70,32382
4205,71,23202
4206,72,16435
4207,68,27108
4208,72,14397
4209,68,25458
4211,68,18289
4212,70,37138
4213,70,33091
4214,69,16766
4301,72,5667
4302,72,698
4321,72,9833
4322,72,5475
4323,72,15502
