municipality,cz,size
7545,120,4130
7546,120,3399
7547,120,9280
7548,133,907
7561,123,3717
7564,134,3630
8201,135,94685
8202,135,84072
8203,136,47029
8204,137,47135
8205,136,31237
8207,137,20112
8208,138,17245
8210,137,16896
8211,139,25789
8212,135,26937
8214,135,13157
8215,135,19591
8216,135,30157
8217,139,35139
8219,139,14557
8220,139,50881
8221,135,48339
8222,140,20371
8223,140,11489
8224,139,6892
8225,141,22894
8226,135,19201
8227,137,45742
8228,142,23504
8229,138,18537
8230,136,16991
8231,137,21972
8232,140,28038
8233,140,20052
8234,140,21583
8235,139,13091
8236,136,18713
8302,135,14355
8309,135,8648
8310,135,9729
8341,135,11581
8364,141,12724
8442,138,5720
8443,136,13106
8447,138,4932
8521,137,10312
8542,143,3742
8546,142,11015
8564,144,5384
9201,145,163597
9202,146,64501
9203,145,67259
9204,146,50936
9205,145,40351
9206,147,41253
9208,137,51176
9209,145,30648
9210,148,30705
9211,148,13865
9213,148,35038
9214,145,14715
9215,149,16026
9216,145,18136
9301,145,11417
9342,145,9804
9343,145,9868
9344,145,4913
9345,145,7502
9361,145,14308
9364,137,6695
9384,147,6659
9386,145,9780
9407,148,11916
9411,149,10250
10201,150,127006
10202,150,125726
10203,150,59283
10204,150,66144
10205,146,70055
10206,151,22236
10207,146,27849
10208,150,36108
10209,152,25556
10210,153,21712
10211,150,25196
10212,150,17748
10344,150,3883
10345,150,4659
10366,154,866
10367,154,2159
10382,153,6229
10383,153,2454
10384,153,6065
10421,155,9486
10424,155,3047
10425,155,5005
10426,155,4157
10428,155,1743
10429,155,8059
10443,151,2701
10444,151,1631
10448,151,3553
10449,151,12100
10464,150,7100
10521,146,6933
10522,146,4328
10523,146,4486
10524,146,13499
10525,146,8679
11100,156,332061
11201,157,94934
11202,158,69493
11203,156,172324
11206,159,30033
11207,158,30269
11208,157,87857
11209,157,24741
11210,159,35190
11211,152,28936
11212,160,24798
11214,143,67244
11215,157,45379
11216,159,19227
11217,156,33277
11218,158,48660
11219,156,60692
11221,144,70876
11222,161,80406
11223,156,30113
11224,156,31919
11225,157,36724
11227,162,34513
11228,162,18824
11229,162,19067
11230,162,43142
11231,156,20809
11232,143,42814
11233,156,18532
11234,144,23116
11235,162,28772
11237,144,37805
11238,156,17022
11239,157,27030
11240,143,17730
11241,157,12485
11242,157,15477
11243,161,14193
11245,162,34582
11246,156,11895
11301,156,7553
11324,162,10693
11326,157,10768
11327,157,4577
11341,160,3991
11342,160,6243
11343,160,11198
11346,157,7448
11347,160,7167
11348,157,3660
11349,160,4819
11361,158,3574
11362,158,5113
11363,158,3543
11365,158,6446
11369,160,1901
11381,152,4519
11383,152,4924
11385,152,8109
11408,158,11530
11442,143,10233
11464,143,12263
11465,161,6806
12100,163,275771
12202,140,35612
12203,144,144676
12204,144,179421
12205,164,22194
12206,165,43745
12207,144,150678
12208,144,44062
12210,166,29652
12211,167,38048
12212,167,37519
12213,163,15281
12215,168,27811
12216,144,46230
12217,144,99583
12218,169,9668
12219,165,87430
12220,144,37793
12221,144,48849
12222,144,35897
12223,164,16846
12224,144,27530
12225,165,31941
12226,165,22810
12227,144,24544
12228,163,20502
12229,165,15401
12230,163,13958
12231,170,13488
12232,144,9090
12233,167,10702
12234,164,22912
12235,168,17602
12236,167,38600
12237,163,19400
12238,169,17894
12239,163,10556
12322,167,4618
12329,170,4091
12342,167,2444
12347,167,7828
12349,140,7432
12403,163,7230
12409,167,3934
12410,163,11027
12421,166,4505
12422,166,3343
12423,166,4271
12424,166,5111
12426,166,3452
12427,166,5236
12441,169,5676
12443,169,3072
12463,164,4945
13101,144,25632
13102,144,39618
13103,144,91317
13104,144,153147
13105,144,85909
13106,144,83008
13107,144,103242
13108,144,157277
13109,144,158635
13110,144,117845
13111,144,290294
13112,144,314007
13113,144,109370
13114,144,147310
13115,144,224018
13116,144,127319
13117,144,166193
13118,144,85934
13119,162,208084
13120,144,220015
13121,144,246590
13122,144,176653
13123,144,200445
13201,171,139085
13202,171,53615
13203,172,55642
13204,172,66311
13205,171,37193
13206,173,75985
13207,171,35375
13208,173,70276
13209,174,101311
13210,172,39901
13211,175,57670
13212,171,53772
13213,175,46731
13214,172,34985
13215,172,24324
13218,171,19510
13219,173,26712
13220,175,23708
13221,175,22457
13222,175,39582
13223,171,20736
13224,173,31743
13225,173,17802
13227,171,16682
13228,171,22979
13229,175,61929
13303,171,8591
13305,171,4794
13307,171,1590
13308,171,3781
13361,176,4374
13362,177,144
13363,178,1304
13364,179,837
13381,180,1754
13382,181,112
13401,182,4057
13402,183,85
13421,184,762
14100,144,1081801
14130,144,429990
14150,174,181293
14201,185,154904
14203,186,81735
14204,185,63819
14205,174,112697
14206,186,70787
14207,174,64621
14208,185,21315
14210,185,18597
14211,186,45224
14212,174,55452
14213,174,63924
14214,174,26040
14215,174,28497
14216,174,36054
14217,186,15643
14218,174,23089
14301,185,9862
14321,174,14311
14341,186,11007
14342,186,9622
14361,186,3518
14362,186,4901
14363,186,5175
14364,186,5644
14366,186,4300
14382,186,10307
14383,187,3921
14384,187,10413
14401,174,11937
14402,174,1366
15100,188,310140
15202,189,126961
15204,188,48899
15205,189,42839
15206,188,44809
15208,189,19830
15209,188,16793
15210,190,33721
15211,189,18625
15212,191,33608
15213,188,37828
15216,192,27080
15217,192,18809
15218,188,27480
15222,192,93971
15223,188,21760
15224,193,40045
15225,194,21647
15226,194,26977
15227,191,15243
15307,188,5353
15342,188,3653
15361,188,5205
15385,188,8518
15405,189,3148
15461,194,3956
15482,190,5961
15504,189,2668
15581,191,3872
15586,195,302
16201,196,168097
16202,197,78188
16204,196,21498
16205,197,27282
16206,196,13509
16207,196,20462
16208,197,19621
16209,197,16706
16210,197,32156
16211,197,37987
16321,196,661
16322,196,11023
16323,196,13094
16342,196,14115
16343,196,8449
17201,198,168312
17202,199,31222
17203,198,43438
17204,200,19298
17205,200,12146
17206,198,35588
17207,199,12464
17209,198,14483
17210,198,34760
17211,198,16224
17212,198,11984
17324,198,1804
17361,198,10227
17365,198,7818
17384,199,13572
17386,199,7435
17407,199,10406
17461,200,6210
17463,200,13016
18201,201,112299
18202,202,26215
18204,202,14200
18205,201,21016
18206,201,15511
18207,201,26131
18208,201,14961
18209,201,37420
18210,201,35586
18322,201,9282
18382,201,2423
18404,201,6605
18423,201,12301
18442,202,5635
18481,202,4998
18483,202,4061
18501,202,8470
19201,203,80027
19202,204,19822
19204,204,11580
19205,203,15336
19206,204,13129
19207,203,11365
19208,203,22759
19209,203,20043
19210,203,17895
19211,203,22817
19212,171,10809
19213,203,14988
19214,203,6890
19346,203,9907
19364,205,1280
19365,205,9967
19366,206,5093
19368,203,7672
19384,203,3808
19422,207,863
19423,204,1602
19424,204,2111
19425,204,1723
19429,204,1116
19430,204,8071
19442,208,578
19443,209,500
20201,210,151380
20202,211,92796
20203,212,64729
20204,213,26371
20205,214,48793
20206,213,22889
20207,210,23210
20208,215,17469
20209,216,30221
20210,216,13883
20211,217,20961
20212,218,15856
20213,217,13844
20214,213,19573
20215,211,24500
20217,215,37889
20218,212,25007
20219,212,11605
20220,211,32522
20303,215,2871
20304,219,2212
20305,219,1624
20306,215,669
