i,cluster
13112,141
13113,141
13114,141
13115,141
13116,141
13117,141
13118,141
13119,159
13120,141
13121,141
13122,141
13123,141
13201,168
13202,168
13203,169
13204,169
13205,168
13206,170
13207,168
13208,170
13209,171
13210,169
13211,172
13212,168
13213,172
13214,169
13215,169
13218,168
13219,170
13220,172
13221,172
13222,172
13223,168
13224,170
13225,170
13227,168
13228,168
13229,172
13303,168
13305,168
13307,168
13308,168
13361,173
13362,174
13363,175
13364,176
13381,177
13382,178
13401,179
13402,180
13421,181
14100,141
14130,141
14150,171
14201,182
14203,183
14204,182
14205,171
14206,183
14207,171
14208,182
14210,182
14211,183
14212,171
14213,171
14214,171
14215,171
14216,171
14217,183
14218,171
14301,182
14321,171
14341,183
14342,183
14361,183
14362,183
14363,183
14364,183
14366,183
14382,183
14383,184
14384,184
14401,171
14402,171
15100,185
15202,186
15204,185
15205,186
15206,185
15208,186
15209,185
15210,187
15211,186
15212,188
15213,185
15216,189
15217,189
15218,185
15222,189
15223,185
15224,190
15225,191
15226,191
15227,188
15307,185
15342,185
15361,185
15385,185
15405,186
15461,191
15482,187
15504,186
15581,188
15586,192
16201,193
16202,194
16204,193
16205,194
16206,193
16207,193
16208,194
16209,194
16210,194
16211,194
16321,193
16322,193
16323,193
16342,193
16343,193
17201,195
17202,196
17203,195
17204,197
17205,197
17206,195
17207,196
17209,195
17210,195
17211,195
17212,195
17324,195
17361,195
17365,195
17384,196
17386,196
17407,196
17461,197
17463,197
18201,198
18202,199
18204,199
18205,198
18206,198
18207,198
18208,198
18209,198
18210,198
18322,198
18382,198
18404,198
18423,198
18442,199
18481,199
18483,199
18501,199
19201,200
19202,201
19204,201
19205,200
19206,201
19207,200
19208,200
19209,200
19210,200
19211,200
19212,168
19213,200
19214,200
19346,200
19364,202
19365,202
19366,203
19368,200
19384,200
19422,204
19423,201
19424,201
19425,201
19429,201
19430,201
19442,205
19443,206
20201,207
20202,208
20203,209
20204,210
20205,211
20206,210
20207,207
20208,212
20209,213
20210,213
20211,214
20212,215
20213,214
20214,210
20215,208
20217,212
20218,209
20219,209
20220,208
20303,212
20304,216
20305,216
20306,212
20307,212
20309,212
20321,212
20323,212
20324,209
20349,209
20350,209
20361,210
20362,210
20363,210
20382,213
20383,213
20384,213
20385,213
20386,211
20388,213
20402,211
20403,211
20404,211
20407,211
20409,217
20410,218
20411,211
20412,219
20413,211
20414,211
20415,211
20416,211
20417,220
20422,221
20423,222
20425,221
20429,221
20430,222
20432,221
20446,208
20448,208
20450,208
20451,208
20452,208
20481,215
20482,215
20485,215
20486,215
20521,209
20541,207
20543,207
20561,214
20562,214
20563,214
20583,207
20588,207
20590,207
20602,187
21201,223
21202,224
21203,225
21204,226
21205,227
21206,222
21207,227
21208,226
21209,223
21210,222
21211,227
21212,226
21213,223
21214,227
21215,223
21216,223
21217,225
21218,223
21219,228
21220,229
21221,224
21302,223
21303,223
21341,224
21361,224
21362,224
21381,224
21382,224
21383,224
21401,224
21403,223
21404,224
21421,223
21501,227
21502,227
21503,227
21504,227
21505,227
21506,230
21507,230
21521,227
21604,228
22100,231
22130,232
22203,233
22205,184
22206,233
22207,203
22208,234
22209,231
22210,203
22211,232
22212,231
22213,232
22214,231
22215,233
22216,232
22219,234
22220,233
22221,232
22222,233
22223,232
22224,232
22225,233
22226,231
22301,234
22302,234
22304,234
22305,235
22306,235
22325,233
22341,233
22342,233
22344,233
22424,231
22429,231
22461,232
23100,236
23201,237
23202,238
23203,236
23204,236
23205,239
23206,236
23207,237
23208,236
23209,238
23210,238
23211,218
23212,238
23213,238
23214,238
23215,236
23216,239
23217,236
23219,236
23220,236
23221,237
23222,239
