i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,1
1210,9
1211,8
1212,10
1213,11
1214,12
1215,9
1216,13
1217,1
1218,13
1219,14
1220,15
1221,16
1222,9
1223,17
1224,11
1225,13
1226,13
1227,13
1228,18
1229,19
1230,5
1231,11
1233,5
1234,1
1235,1
1303,1
1304,1
1331,20
1332,20
1333,2
1334,2
1335,2
1336,2
1337,2
1343,2
1345,2
1346,21
1347,21
1361,22
1362,22
1363,22
1364,22
1367,23
1370,24
1371,24
1391,25
1392,25
1393,25
1394,26
1395,26
1396,26
1397,26
1398,26
1399,26
1400,26
1401,27
1402,27
1403,27
1404,27
1405,3
1406,3
1407,3
1408,3
1409,3
1421,9
1422,9
1423,1
1424,13
1425,13
1427,1
1428,1
1429,1
1430,9
1431,13
1432,13
1433,18
1434,18
1436,13
1437,18
1438,18
1439,28
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,19
1461,19
1462,19
1463,19
1464,15
1465,15
1467,16
1468,16
1469,29
1470,29
1471,29
1481,10
1482,10
1483,30
1484,30
1485,30
1486,31
1487,31
1488,31
1511,32
1512,32
1513,32
1514,33
1515,33
1516,12
1517,34
1518,35
1519,35
1541,8
1542,8
1543,8
1544,8
1545,36
1546,36
1547,36
1548,8
1549,8
1550,8
1551,8
1552,37
1553,37
1555,38
1558,38
1559,38
1560,14
1561,14
1562,14
1563,14
1571,5
1572,5
1573,5
1574,5
1575,5
1578,5
1579,11
1580,11
1581,11
1582,11
1583,39
1601,40
1602,39
1603,39
1604,41
1605,41
1606,41
1607,41
1608,41
1609,42
1631,7
1632,7
1633,7
1634,7
1635,7
1636,7
1637,7
1638,7
1639,7
1640,43
1641,43
1642,43
1643,7
1644,7
1645,44
1646,45
1647,45
1648,45
1649,44
1661,6
1662,46
1663,46
1664,47
1665,47
1666,6
1667,6
1668,6
1669,6
1691,48
1692,48
1693,48
1694,49
2201,50
2202,51
2203,52
2204,51
2205,53
2206,54
2207,54
2208,55
2209,53
2301,50
2303,50
2304,50
2307,50
2321,53
2323,53
2341,51
2342,51
2343,51
2361,51
2362,51
2363,51
2365,51
2367,51
2368,51
2381,53
2384,53
2387,53
2401,54
2402,54
2403,52
2405,54
2406,55
2408,54
2410,54
2411,54
2423,55
2424,55
2425,55
2426,55
2441,52
2442,52
2443,52
2444,52
2445,52
2446,52
2447,52
2450,52
3201,56
3202,57
3203,58
3204,59
3205,60
3206,59
3207,61
3208,60
3209,59
3210,58
3211,57
3212,59
3213,62
3214,56
3301,56
3302,56
3303,56
3305,56
3307,56
3321,56
3322,56
3341,60
3342,60
3361,60
3363,63
3365,63
3381,59
3382,59
3383,59
3384,59
3402,59
3422,59
3441,58
3461,57
3482,57
3483,64
3484,64
3485,61
3487,57
3501,62
3502,52
3503,61
3504,61
3505,62
3506,62
3521,62
3524,62
4100,65
4202,66
4203,65
4204,67
4205,68
4206,69
4207,65
4208,69
4209,65
4211,65
4212,67
4213,67
4214,66
4301,69
4302,69
4321,69
4322,69
4323,69
4324,69
4341,69
4361,65
4362,65
4401,65
4404,65
4406,65
4421,65
4422,65
4423,65
4424,65
4444,67
4445,67
4461,67
4462,67
4463,67
4481,67
4482,67
4501,67
4502,67
4503,67
4504,67
4581,66
4603,68
4604,68
4606,68
5201,70
5202,71
5203,72
5204,73
5206,70
5207,72
5209,73
5210,74
5211,70
5212,72
5213,73
5214,74
5215,72
5303,73
5327,73
5341,71
5342,71
5343,71
5344,71
5345,71
5346,71
5347,71
5361,70
5363,70
5366,70
5368,70
5434,72
5463,72
5464,72
6201,75
