i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,1
1225,15
1226,15
1227,15
1228,20
1229,21
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,22
1331,23
1332,23
1333,2
1334,2
1337,2
1343,2
1345,2
1346,24
1347,24
1361,25
1362,25
1363,25
1364,25
1367,26
1370,27
1371,27
1391,28
1392,28
1393,24
1394,29
1395,29
1396,30
1397,29
1398,29
1399,29
1400,29
1401,31
1402,31
1403,31
1404,31
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,15
1425,15
1427,32
1428,32
1429,32
1430,10
1431,33
1432,15
1433,20
1434,20
1436,15
1437,20
1438,20
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,21
1461,21
1462,21
1463,21
1464,17
1465,17
1468,18
1469,18
1470,18
1471,34
1472,35
1481,12
1482,12
1483,36
1484,36
1485,36
1486,37
1487,38
1511,39
1512,39
1513,39
1514,40
1516,14
1517,41
1518,42
1519,42
1520,38
1543,11
1544,11
1545,43
1546,43
1547,43
1549,8
1550,8
1552,44
1555,45
1559,45
1560,16
1561,16
1562,16
1563,46
1564,11
1571,5
1575,5
1578,13
1581,13
1584,5
1585,13
1586,13
1601,47
1602,47
1604,48
1607,49
1608,49
1609,50
1610,48
1631,7
1632,51
1633,51
1634,52
1635,52
1636,52
1637,7
1638,7
1639,7
1641,53
1642,53
1643,7
1644,7
1645,54
1646,55
1647,55
1648,55
1649,54
1661,6
1662,56
1663,56
1664,57
1665,57
1667,6
1668,6
1691,58
1692,58
1693,58
1694,59
2201,60
2202,61
2203,62
2204,61
2205,63
2206,64
2207,64
2208,65
2209,63
2210,61
2301,60
2303,60
2304,60
2307,60
2321,66
2323,66
2343,61
2361,61
2362,61
2367,61
2381,61
2384,63
2387,63
2401,64
2402,64
2405,64
2406,65
2408,64
2411,64
2412,64
2423,65
2424,65
2425,65
2426,65
2441,62
2442,62
2443,62
2445,62
2446,62
2450,62
3201,67
3202,68
3203,69
3205,70
3206,70
3207,71
3208,72
3209,70
3210,69
3211,68
3213,73
3214,67
3215,70
3216,67
3301,67
3302,74
3303,67
3321,67
3322,67
3366,70
3381,70
3402,70
3441,69
3461,68
3482,68
3483,75
3484,75
3485,71
3501,73
3503,71
3506,73
3507,62
3524,73
4100,76
4202,77
4203,76
4205,78
4206,79
4207,76
4208,79
4209,76
4211,76
4212,80
4213,80
4214,77
4215,80
4301,79
4302,79
4321,79
4322,79
4323,79
4324,81
4341,79
4361,76
4362,76
4401,76
4404,76
4406,76
4421,76
4422,76
4423,76
4424,76
4444,80
4445,80
4501,80
4505,80
4581,77
4606,78
5201,82
5202,83
5203,84
5204,85
5206,82
5207,84
5209,85
5210,86
5211,82
5212,87
5213,88
5214,86
5215,87
5303,85
5327,88
5346,83
5348,83
5349,83
5361,82
5363,82
5366,82
5368,82
5434,87
5463,84
5464,84
6201,89
6202,90
6203,91
6204,91
6205,92
6206,89
6207,89
6208,89
6209,90
6210,89
6211,89
6212,93
6213,90
6301,89
6302,89
6321,89
6322,89
6323,89
6324,89
6341,93
6361,92
6362,94
6363,92
6364,92
6365,92
6366,92
6367,92
6381,90
6382,90
6401,95
6402,90
6403,90
6426,91
6428,91
6461,91
7201,96
7202,97
7203,98
7204,99
7205,100
7207,100
7208,97
7209,101
7210,98
7211,98
7212,101
7213,96
7214,98
7301,96
7303,96
7308,96
7322,98
7342,100
7344,100
