i,cluster
8308,121
8309,121
8321,121
8322,125
8323,121
8324,126
8341,121
8342,121
8343,121
8344,131
8345,131
8346,131
8347,131
8361,122
8362,122
8363,122
8364,131
8381,122
8401,132
8402,132
8403,132
8406,130
8407,130
8421,130
8422,130
8423,130
8424,132
8425,132
8441,123
8442,123
8443,123
8445,123
8446,123
8447,123
8448,123
8449,123
8461,123
8462,125
8463,125
8464,123
8465,123
8482,129
8483,129
8501,126
8502,126
8503,126
8504,126
8505,126
8521,128
8522,128
8523,128
8541,124
8542,133
8543,124
8544,124
8546,124
8561,129
8563,129
8564,134
9201,127
9202,135
9203,135
9204,135
9205,135
9206,136
9207,136
9208,127
9209,127
9210,137
9211,137
9212,137
9301,127
9302,127
9303,127
9304,127
9321,135
9322,135
9323,136
9341,127
9342,127
9343,127
9344,127
9345,127
9361,127
9362,127
9363,127
9364,124
9365,135
9366,135
9367,135
9368,135
9382,136
9383,136
9384,137
9385,137
9386,127
9387,137
9401,138
9402,138
9403,138
9404,138
9405,137
9406,137
9407,137
9409,137
9410,137
9421,135
9422,135
10201,139
10202,139
10203,140
10204,140
10205,141
10206,142
10207,141
10208,143
10209,144
10210,145
10211,139
10301,139
10302,143
10303,139
10304,139
10305,139
10306,139
10307,140
10308,140
10309,140
10321,139
10322,139
10323,139
10324,139
10341,143
10342,143
10343,143
10344,139
10345,139
10361,144
10362,144
10363,145
10364,146
10365,146
10366,146
10381,145
10382,145
10383,145
10384,145
10401,139
10421,143
10422,143
10423,143
10424,147
10425,147
10426,147
10427,147
10428,143
10441,142
10442,142
10443,142
10444,142
10445,142
10446,142
10447,142
10448,142
10461,140
10462,140
10463,140
10464,139
10481,141
10482,141
10483,140
10484,140
10501,140
10521,141
10522,141
10523,141
10524,141
10525,141
11201,148
11202,149
11203,150
11204,150
11205,150
11206,149
11207,151
11208,152
11209,152
11210,153
11211,144
11212,148
11213,133
11214,133
11215,152
11216,153
11217,149
11218,149
11219,150
11220,150
11221,154
11222,155
11223,150
11224,150
11225,152
11226,150
11227,156
11228,156
11229,156
11230,156
11231,150
11232,153
11233,150
11234,154
11235,156
11236,156
11237,155
11238,150
11239,148
11240,133
11241,148
11242,152
11301,150
11304,149
11322,156
11324,156
11326,148
11327,148
11330,152
11341,148
11342,148
11343,148
11344,148
11345,148
11346,148
11347,148
11348,148
11361,151
11362,151
11363,151
11364,151
11365,151
11366,151
11367,151
11368,151
11369,148
11381,144
11382,144
11383,144
11384,144
11385,144
11401,149
11402,149
11403,149
11405,149
11406,149
11407,149
11408,149
11421,153
11422,149
11423,149
11424,124
11425,153
11442,133
11445,150
11446,153
11461,133
11462,153
11464,133
11465,155
11466,155
11468,133
12100,154
12202,130
12203,154
12204,154
12205,157
12206,158
12207,154
12208,159
12209,160
12210,161
12211,160
12212,162
12213,163
12214,164
12215,164
12216,154
12217,154
12218,161
12219,158
12220,154
12221,162
12222,154
12223,157
12224,154
12225,158
12226,158
12227,154
12228,162
12229,158
12230,163
12303,159
12305,154
12322,162
12324,160
12325,162
12326,154
12327,162
12328,162
12329,162
12341,160
12342,160
12343,160
12344,160
12345,160
12346,160
12347,160
12348,164
12349,130
12361,164
12362,164
12381,164
12382,164
12402,163
12403,163
12404,163
12405,163
12406,163
12407,163
12408,163
12409,160
12421,161
12422,161
12423,161
12424,161
12426,161
12427,161
12441,161
12442,161
12443,161
12444,161
12445,161
12461,157
12462,157
12463,157
12464,157
12465,157
12466,157
12467,157
12468,157
12472,157
13101,154
13102,154
13103,154
13104,154
13105,154
13106,154
13107,154
13108,154
13109,154
13110,154
13111,154
13112,154
13113,154
13114,154
13115,154
13116,154
13117,154
13118,154
13119,154
13120,154
13121,154
13122,154
13123,154
13201,165
13202,166
13203,154
13204,154
13205,166
13206,167
13207,166
13208,167
13209,168
13210,154
13211,169
13212,165
13213,169
13214,167
13215,167
13216,169
13217,169
13218,166
13219,167
13220,169
13221,169
13222,169
13223,166
13224,167
13225,167
13227,166
13228,166
13303,166
13305,166
13307,166
13308,166
13361,170
13362,171
13363,172
13364,173
13381,174
13382,175
13401,176
13402,177
13421,178
14100,154
14130,154
14201,179
14203,180
14204,180
14205,180
14206,181
14207,180
14208,179
14209,168
14210,179
14211,181
14212,168
14213,168
14214,168
14215,168
14216,168
14217,181
14218,168
14301,179
14321,180
14341,180
14342,180
14361,181
14362,181
14363,181
14364,181
14366,181
14382,181
14383,181
14384,181
14401,168
14402,168
14421,168
14422,168
14423,165
14424,165
15201,182
15202,183
15204,184
15205,185
15206,186
15207,182
