i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,13
1225,15
1226,15
1227,15
1228,20
1229,21
1230,5
1231,13
1233,5
1301,1
1302,1
1303,1
1304,22
1305,1
1306,23
1331,24
1332,24
1333,2
1334,2
1335,2
1336,2
1337,2
1339,2
1340,25
1341,25
1342,26
1343,27
1344,27
1345,27
1346,28
1347,28
1361,29
1362,29
1363,29
1364,29
1365,30
1366,30
1367,31
1368,32
1369,32
1370,32
1391,33
1392,33
1393,28
1394,34
1395,34
1396,35
1397,34
1398,34
1399,34
1400,34
1401,36
1402,36
1403,36
1404,36
1405,3
1406,3
1407,3
1408,3
1409,3
1421,10
1422,10
1423,1
1424,15
1425,15
1427,37
1428,37
1429,37
1430,10
1431,38
1432,15
1433,20
1434,20
1436,15
1437,20
1438,20
1439,39
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,21
1461,21
1462,21
1463,21
1464,17
1465,17
1466,17
1467,18
1468,18
1469,40
1470,40
1471,41
1481,12
1482,12
1483,42
1484,42
1485,42
1486,43
1487,44
1488,44
1511,45
1512,45
1513,45
1514,46
1515,46
1516,14
1517,47
1518,48
1519,48
1541,11
1542,11
1543,11
1544,11
1545,49
1546,49
1547,49
1548,8
1549,8
1550,8
1551,8
1552,50
1553,51
1554,52
1555,52
1556,52
1557,52
1558,52
1559,52
1560,16
1561,16
1562,16
1563,53
1571,5
1572,5
1573,5
1574,5
1575,5
1578,5
1579,13
1580,13
1581,13
1582,13
1583,54
1601,55
1602,55
1603,55
1604,56
1605,56
1606,56
1607,57
1608,57
1609,58
1631,7
1632,7
1633,7
1634,59
1635,59
1636,59
1637,7
1638,60
1639,60
1640,61
1641,61
1642,61
1643,7
1644,7
1645,62
1646,63
1647,63
1648,63
1649,62
1661,6
1662,64
1663,64
1664,65
1665,65
1666,6
1667,6
1668,6
1669,6
1691,66
1692,66
1693,66
1694,67
2201,68
2202,69
2203,70
2204,69
2205,71
2206,72
2207,72
2208,73
2301,68
2302,68
2303,74
2304,68
2305,68
2306,74
2321,75
2322,71
2323,75
2324,71
2325,75
2326,71
2327,71
2328,76
2341,69
2342,69
2343,69
2361,69
2362,69
2363,69
2364,69
2365,69
2366,69
2367,69
2368,69
2381,77
2382,78
2383,78
2384,71
2385,78
2386,78
2401,79
2402,72
2403,70
2404,72
2405,72
2406,73
2407,72
2408,79
2409,72
2410,72
2411,79
2421,73
2422,73
2423,80
2424,73
2425,80
2426,80
2427,73
2441,81
2442,70
2443,81
2444,70
2445,81
2446,70
2447,70
2448,70
2449,70
2450,70
3201,82
3202,83
3203,84
3204,85
3205,86
3206,87
3207,88
3208,86
3209,89
3210,84
3211,90
3212,85
3213,91
3301,82
3302,92
3303,82
3304,82
3305,82
3306,82
3307,82
3321,82
3322,82
3323,82
3341,86
3342,86
3361,86
3362,87
3363,87
3364,87
3365,87
3381,85
3382,85
3383,85
3384,89
3401,89
3402,89
3421,89
3422,89
3423,89
3424,89
3425,89
3426,89
3441,84
3442,84
3461,90
3462,86
3481,83
3482,83
3483,93
3484,93
3485,88
3486,83
3487,83
3501,91
3502,70
3503,88
3504,88
3505,88
3506,91
3521,91
3523,82
3524,91
4100,94
4202,95
4203,94
4204,96
4205,97
4206,98
4207,94
4208,98
4209,94
4211,94
4301,98
4302,98
4321,98
4322,98
4323,98
4324,99
4341,98
4361,94
4362,94
4401,94
4404,94
4406,94
4421,94
4422,94
4423,94
