year,cutoff,zone,municipalities,muni_names,resident_labour_force,mean_contained,labour_weighted_contained
1980,0.98,654,1,大島郡宇検村,849,0.9858657243816255,0.9858657243816255
1980,0.98,655,1,大島郡瀬戸内町,4544,0.9953785211267606,0.9953785211267606
1980,0.98,656,1,大島郡笠利町,2952,0.9684959349593496,0.9684959349593496
1980,0.98,657,1,西之表市,9134,0.9925552879351872,0.9925552879351872
1980,0.98,658,2,熊毛郡中種子町; 熊毛郡南種子町,8428,0.9898381826463735,0.9887280493592786
1980,0.98,659,1,鹿児島郡三島村,176,1,1
1980,0.98,660,1,鹿児島郡十島村,371,0.9973045822102425,0.9973045822102425
1980,0.98,661,2,薩摩郡里村; 薩摩郡上甑村,1655,0.9986111111111111,0.9987915407854985
1980,0.98,662,1,薩摩郡下甑村,1154,0.9982668977469671,0.9982668977469671
1980,0.98,663,1,薩摩郡鹿島村,375,0.9893333333333333,0.9893333333333333
1980,0.98,664,2,熊毛郡上屋久町; 熊毛郡屋久町,5479,0.9996330237131383,0.9996349698850155
1980,0.98,665,1,大島郡喜界町,3341,0.9985034420832086,0.9985034420832086
1980,0.98,666,3,大島郡徳之島町; 大島郡天城町; 大島郡伊仙町,10805,0.9998713495432909,0.9999074502545118
1980,0.98,667,2,大島郡和泊町; 大島郡知名町,6335,0.9998554495518936,0.9998421468034727
1980,0.98,668,1,大島郡与論町,2538,1,1
1980,0.98,672,4,平良市; 宮古郡城辺町; 宮古郡下地町; 宮古郡上野村,16456,0.9948240787651013,0.9922824501701507
1980,0.98,673,1,石垣市,13839,0.9969650986342944,0.9969650986342944
1980,0.98,674,1,国頭郡伊江村,1898,1,1
1980,0.98,675,2,島尻郡仲里村; 島尻郡具志川村,3451,1,1
1980,0.98,676,1,島尻郡渡嘉敷村,358,1,1
1980,0.98,677,1,島尻郡座間味村,313,0.987220447284345,0.987220447284345
1980,0.98,678,1,島尻郡粟国村,260,1,1
1980,0.98,679,1,島尻郡渡名喜村,203,0.9605911330049262,0.9605911330049262
1980,0.98,680,1,島尻郡南大東村,727,1,1
1980,0.98,681,1,島尻郡北大東村,310,1,1
1980,0.98,682,1,島尻郡伊平屋村,533,0.9962476547842402,0.9962476547842402
1980,0.98,683,1,島尻郡伊是名村,693,0.9971139971139971,0.9971139971139971
1980,0.98,684,1,宮古郡伊良部村,2626,0.9725818735719726,0.9725818735719726
1980,0.98,685,1,宮古郡多良間村,520,0.9980769230769231,0.9980769230769231
1980,0.98,686,1,八重山郡竹富町,1529,0.9908436886854153,0.9908436886854153
1980,0.98,687,1,八重山郡与那国町,673,1,1
1980,0.977,84,1,檜山支庁奥尻町,1874,0.9994663820704376,0.9994663820704376
1980,0.977,85,1,宗谷支庁礼文町,2261,1,1
1980,0.977,86,1,宗谷支庁利尻町,2346,0.9906223358908781,0.9906223358908781
1980,0.977,87,1,宗谷支庁東利尻町,2115,0.9891252955082742,0.9891252955082742
1980,0.977,640,1,大島支庁大島町,4374,0.9970278920896205,0.9970278920896205
1980,0.977,641,1,大島支庁利島村,144,1,1
1980,0.977,642,1,大島支庁新島本村,1304,0.9992331288343558,0.9992331288343558
1980,0.977,643,1,大島支庁神津島村,837,1,1
1980,0.977,644,1,三宅支庁三宅村,1754,0.9971493728620296,0.9971493728620296
1980,0.977,645,1,三宅支庁御蔵島村,112,1,1
1980,0.977,646,1,八丈支庁八丈町,4057,0.9972886369238353,0.9972886369238353
