municipality,cz,size
1100,1,591248
1202,2,113309
1203,3,62100
1204,4,137724
1205,5,45806
1206,6,83792
1207,7,65343
1208,8,42678
1209,9,11595
1210,10,30451
1211,11,17432
1212,12,13327
1213,13,59516
1214,14,21378
1215,10,13864
1216,15,11840
1217,1,31535
1218,15,8260
1219,16,13657
1220,17,11381
1221,18,12294
1222,10,7360
1223,19,15881
1224,1,26565
1225,20,19690
1226,20,9275
1227,15,3170
1228,21,13740
1229,22,11618
1230,5,19713
1231,1,17482
1233,23,12497
1301,1,13590
1302,1,14062
1303,1,6403
1304,24,1912
1305,1,1153
1306,25,1231
1331,26,5230
1332,26,3373
1333,2,2594
1334,2,3125
1335,2,10557
1336,2,3283
1337,2,8067
1339,2,1844
1340,27,2419
1341,28,792
1342,29,3505
1343,30,1794
1344,30,2086
1345,30,6183
1346,31,7501
1347,32,3751
1361,33,5065
1362,33,2908
1363,33,2685
1364,33,2287
1365,34,1921
1366,34,1276
1367,35,1761
1368,36,1324
1369,36,3164
1370,36,3637
1391,37,922
1392,37,1822
1393,32,1630
1394,38,3145
1395,38,2143
1396,39,1357
1397,40,1142
1398,40,1588
1399,38,1933
1400,38,7448
1401,41,3193
1402,41,7636
1403,41,1039
1404,41,681
1405,3,1459
1406,3,1954
1407,3,2013
1408,3,9638
1409,3,723
1421,10,2217
1422,10,3642
1423,1,2497
1424,20,3478
1425,20,3100
1427,42,3606
1428,42,5616
1429,42,7593
1430,43,2161
1431,43,1555
1432,20,3831
1433,21,2434
1434,21,1820
1436,20,1527
1437,21,1459
1438,21,2483
1439,44,1470
1452,4,3196
1453,4,2442
1454,4,4413
1455,4,2565
1456,45,2317
1457,45,3815
1458,4,3720
1459,4,6018
1460,22,5262
1461,22,3125
1462,46,1766
1463,46,739
1464,17,2666
1465,17,2359
1466,17,1259
1467,18,3094
1468,18,2391
1469,47,3292
1470,47,742
1471,48,1363
1481,12,3115
1482,12,2227
1483,49,2347
1484,49,5430
1485,49,904
1486,50,2020
1487,51,2343
1488,51,1549
1511,52,1403
1512,52,2666
1513,52,1468
1514,53,3820
1515,53,1187
1516,14,2561
1517,54,2423
1518,55,2122
1519,55,2094
1541,11,1359
1542,11,2849
1543,11,10487
1544,11,4429
1545,56,6971
1546,56,2831
1547,56,3183
1548,8,2292
1549,8,3432
1550,8,2362
1551,8,5330
1552,57,3765
1553,58,2697
1554,59,1565
1555,59,7876
1556,59,1356
1557,60,686
1558,59,3181
1559,59,2329
1560,61,2188
1561,16,2573
1562,62,650
1563,16,3208
1571,23,2180
1572,23,5302
1573,23,1025
1574,23,622
1575,23,1808
1578,5,8653
1579,13,2271
1580,9,1758
1581,13,2966
1582,13,3884
1583,63,2149
1601,64,1319
1602,65,3179
1603,65,5945
1604,66,2627
1605,66,9959
1606,66,2793
1607,67,7482
1608,67,3006
1609,68,2884
1631,7,13870
1632,69,3198
1633,69,3082
1634,70,2835
1635,71,3751
1636,71,5566
1637,7,8552
1638,7,1865
1639,72,1666
1640,73,1014
1641,73,3311
1642,73,4448
1643,7,8680
1644,7,4674
1645,74,2393
1646,75,5505
1647,75,4926
1648,75,2079
1649,74,3877
1661,6,6682
1662,76,6130
1663,77,3879
1664,78,4924
1665,78,5241
1666,6,3576
1667,6,1152
1668,6,5609
1669,6,1446
1691,79,7380
1692,79,8845
1693,79,3213
