municipality,cz,size
7544,100,1739
7545,100,4184
7546,100,3375
7547,100,10038
7548,108,831
7561,102,3735
7564,102,3467
8201,109,108978
8202,109,91134
8203,110,58354
8204,111,59648
8205,110,34630
8207,112,22869
8208,113,22702
8210,111,19229
8211,113,28735
8212,109,27342
8214,109,14510
8215,109,21024
8216,109,33530
8217,113,46278
8219,113,23794
8220,113,67422
8221,109,60647
8222,114,24042
8223,114,13200
8224,113,13945
8225,109,23631
8226,109,22485
8227,111,52075
8228,113,26588
8229,110,19294
8230,110,19229
8231,111,22876
8232,114,34111
8233,114,20166
8234,114,22396
8235,113,16402
8236,110,20905
8302,109,16147
8309,109,8846
8310,109,9995
8341,109,13907
8364,109,11927
8442,110,6299
8443,110,17773
8447,113,4967
8521,111,11092
8542,115,3945
8546,111,12098
8564,113,7411
9201,112,201248
9202,116,70435
9203,112,73285
9204,116,53720
9205,112,45114
9206,117,44226
9208,112,61191
9209,112,36383
9210,117,34082
9211,117,15930
9213,117,44061
9214,112,16194
9215,118,15324
9216,112,20353
9301,112,12471
9342,112,10445
9343,112,8962
9344,112,5638
9345,112,8100
9361,112,16824
9364,111,9581
9384,117,6658
9386,112,11715
9407,117,12459
9411,118,10468
10201,119,144867
10202,119,145263
10203,119,61590
10204,119,78402
10205,116,85850
10206,120,23917
10207,116,32740
10208,119,38378
10209,121,30033
10210,122,23547
10211,119,27383
10212,119,21326
10344,119,4575
10345,119,5627
10366,123,712
10367,123,1756
10382,122,5970
10383,122,2005
10384,122,6319
10421,124,9542
10424,124,3029
10425,124,5400
10426,124,4452
10428,124,1678
10429,124,8159
10443,120,2637
10444,120,1618
10448,120,3497
10449,120,12211
10464,119,9968
10521,116,7056
10522,116,4551
10523,116,4911
10524,116,18622
10525,116,10982
11100,125,427515
11201,126,127531
11202,121,82983
11203,125,225618
11206,121,36301
11207,127,31398
11208,128,125610
11209,128,30563
11210,115,42308
11211,121,33638
11212,126,34216
11214,115,93077
11215,128,63939
11216,115,22428
11217,121,44280
11218,121,58303
11219,129,83130
11221,125,92724
11222,130,121365
11223,125,34286
11224,125,41318
11225,128,54766
11227,131,46559
11228,131,26783
11229,131,24414
11230,131,60362
11231,129,29075
11232,115,56620
11233,129,26285
11234,125,32694
11235,131,41585
11237,130,54671
11238,129,24294
11239,126,37425
11240,115,21797
11241,126,24891
11242,128,21137
11243,130,20305
11245,131,43276
11246,129,15647
11301,129,11352
11324,131,15127
11326,126,14972
11327,126,5198
11341,126,5037
11342,126,7519
11343,126,13756
11346,126,9189
11347,126,8117
11348,126,6133
11349,126,5764
11361,127,4115
11362,127,5270
11363,127,3850
11365,127,6560
11369,126,1823
11381,121,4865
11383,121,5777
11385,121,10618
11408,121,13828
11442,115,13185
11464,115,16482
11465,130,9889
12100,132,343701
12202,114,37069
12203,125,197192
12204,125,228582
12205,133,24431
12206,134,52154
12207,125,197714
12208,125,58822
12210,135,36244
12211,136,46985
12212,136,57575
12213,132,19410
12215,132,31235
12216,125,63930
12217,125,141704
12218,135,9727
12219,134,108901
12220,125,55598
12221,125,62518
12222,125,48393
12223,133,17396
12224,125,39377
12225,134,38802
12226,134,23915
12227,125,50680
12228,132,28799
12229,134,21965
12230,132,21465
12231,136,21261
12232,125,14636
12233,136,17916
12234,133,22591
12235,132,18764
12236,136,40681
12237,132,22413
12238,135,18291
12239,132,13677
12322,136,7474
12329,136,8118
12342,136,2576
12347,136,8432
12349,114,7386
12403,132,8075
12409,136,4022
12410,132,11513
12421,135,4856
12422,135,3469
12423,135,4742
12424,135,5263
12426,135,3521
12427,135,4968
12441,135,5539
12443,135,3106
12463,133,4839
13101,125,19100
13102,125,34092
13103,125,75727
13104,125,136484
13105,125,81835
13106,125,77777
13107,125,108633
13108,125,183266
13109,125,163290
13110,125,116192
13111,125,309658
13112,125,354784
13113,125,96562
13114,125,146973
13115,125,242331
13116,125,121543
13117,125,162366
13118,125,87338
13119,125,237733
13120,125,271661
13121,125,289235
13122,125,199285
13123,125,262974
13201,137,185332
13202,138,64305
13203,125,61191
13204,125,73604
13205,138,52919
13206,137,91192
13207,138,45430
13208,137,86412
13209,139,138370
13210,125,45478
13211,140,67728
13212,137,69384
13213,140,56037
13214,137,43268
13215,137,27491
13218,138,25586
13219,137,32446
13220,140,31982
13221,140,28212
13222,140,48155
13223,138,27815
13224,137,56503
13225,137,25038
13227,138,23286
13228,138,29091
13229,140,73412
13303,138,13365
13305,138,6127
13307,138,1534
13308,138,3543
13361,141,4027
13362,142,161
13363,143,1409
13364,144,912
13381,145,1636
13382,146,96
13401,147,3885
13402,148,112
13421,149,1000
14100,125,1382321
14130,125,539621
14150,139,255456
14201,150,171051
14203,151,103648
14204,151,70520
14205,151,146068
14206,152,84239
14207,151,81242
14208,150,22507
14210,150,21886
14211,152,63092
14212,139,83648
14213,139,85825
14214,139,37946
14215,139,44582
14216,139,49083
14217,152,18563
14218,139,33050
14301,150,11237
14321,151,19448
14341,151,12574
14342,151,11575
14361,152,4443
14362,152,6456
14363,152,5800
14364,152,6264
14366,152,5276
14382,152,10970
14383,152,4172
14384,152,12292
14401,139,18192
14402,139,1553
15100,153,335543
15202,154,131338
15204,153,51751
15205,154,44625
15206,153,46305
15208,154,20277
15209,153,16247
15210,155,32503
15211,154,20243
15212,96,33487
15213,153,42279
15216,156,25504
15217,156,18989
15218,153,27588
15222,156,93158
15223,153,21990
15224,157,36836
15225,158,21624
15226,158,29170
15227,96,15758
15307,153,5711
15342,153,3725
15361,153,5765
15385,153,7798
15405,154,2821
15461,158,4940
15482,155,6004
15504,154,2621
15581,96,3714
15586,159,268
16201,160,180737
16202,161,84366
16204,160,23618
16205,161,27501
16206,160,14463
16207,160,21364
16208,161,20775
16209,161,16878
16210,161,31631
16211,161,41298
16321,160,707
16322,160,11371
16323,160,13173
16342,160,14193
16343,160,8092
17201,162,188903
17202,163,31971
17203,162,47686
17204,164,18253
17205,164,10530
