municipality,cz,size
1100,1,712056
1202,2,116625
1203,3,60451
1204,4,148104
1205,5,41980
1206,6,80693
1207,7,73761
1208,8,46986
1209,9,6193
1210,10,33343
1211,11,18398
1212,12,12465
1213,13,71422
1214,14,20405
1215,10,12784
1216,15,8756
1217,1,41937
1218,15,6214
1219,16,12698
1220,17,10580
1221,18,11650
1222,10,5318
1223,19,15235
1224,13,34499
1225,15,19198
1226,15,8621
1227,15,1863
1228,20,12008
1229,21,11349
1230,5,21187
1231,13,24733
1233,5,13669
1301,1,19829
1302,1,20062
1303,1,7747
1304,22,1820
1305,1,1232
1306,23,988
1331,24,4452
1332,24,2567
1333,2,2343
1334,2,2692
1335,2,12618
1336,2,4096
1337,2,10571
1339,2,1609
1340,25,2097
1341,25,668
1342,26,3198
1343,2,1806
1344,2,2223
1345,2,6763
1346,27,7476
1347,27,3229
1361,28,4729
1362,28,2762
1363,28,2419
1364,28,2213
1365,29,1549
1366,29,1074
1367,30,1741
1368,31,1147
1369,31,2834
1370,31,3134
1391,32,865
1392,32,1620
1393,27,1455
1394,33,2757
1395,33,2142
1396,34,1189
1397,33,1268
1398,33,1461
1399,33,1714
1400,33,7620
1401,35,3349
1402,35,7298
1403,35,766
1404,35,631
1405,3,1459
1406,3,1898
1407,3,1853
1408,3,9478
1409,3,851
1421,10,1902
1422,10,2968
1423,1,3595
1424,15,3295
1425,15,1959
1427,9,3197
1428,9,5549
1429,9,7167
1430,10,2053
1431,15,1293
1432,15,3539
1433,20,2031
1434,20,1612
1436,15,1542
1437,20,1324
1438,20,2238
1439,36,1097
1452,4,3046
1453,4,3203
1454,4,3695
1455,4,2297
1456,4,1933
1457,4,3158
1458,4,3254
1459,4,5645
1460,21,5244
1461,21,2386
1462,21,1473
1463,21,1180
1464,17,2261
1465,17,1950
1466,17,996
1467,18,2531
1468,18,2139
1469,37,2851
1470,37,595
1471,38,1233
1481,12,2705
1482,12,1875
1483,39,2096
1484,39,4463
1485,39,809
1486,40,1768
1487,40,2083
1488,40,1356
1511,41,1381
1512,41,2449
1513,41,1352
1514,42,3764
1515,42,1254
1516,14,2453
1517,43,2042
1518,44,1776
1519,44,1866
1541,11,1343
1542,11,2825
1543,11,10659
1544,11,3241
1545,45,7073
1546,45,2567
1547,45,2992
1548,8,2356
1549,8,3189
1550,8,1945
1551,8,4468
1552,46,3380
1553,47,2480
1554,48,1253
1555,48,7503
1556,48,957
1557,49,734
1558,48,2786
1559,48,2375
1560,50,1736
1561,16,2480
1562,16,538
1563,16,2903
1571,5,2171
1572,5,4567
1573,5,959
1574,5,640
1575,5,1625
1578,13,7362
1579,13,2409
1580,13,1625
1581,13,2620
1582,13,3566
1583,51,1871
1601,52,1172
1602,53,2976
1603,53,6217
1604,54,2744
1605,54,9885
1606,55,2542
1607,55,7654
1608,55,2807
1609,56,2680
1631,7,16023
1632,7,3212
1633,7,2754
1634,57,2657
1635,57,3670
1636,57,5038
1637,7,7466
1638,7,1869
1639,58,1597
1640,59,884
1641,59,3111
1642,59,4120
1643,7,9924
1644,7,3908
1645,60,2062
1646,61,4637
1647,61,4615
1648,61,1528
1649,60,3266
1661,6,8934
1662,62,5681
1663,62,3603
1664,63,4373
1665,63,4640
1666,6,3486
1667,6,1105
1668,6,5026
1669,6,1309
1691,64,7514
1692,64,10151
1693,64,3140
1694,65,3211
2201,66,120553
2202,67,72813
2203,68,101918
2204,67,17711
2205,69,19964
2206,70,28206
2207,68,17690
2208,71,19558
2301,66,6760
2302,66,1706
2303,66,1797
2304,66,1671
2305,66,891
2306,66,1207
2321,72,5532
2322,69,8389
2323,72,3978
2324,69,1997
2325,72,1229
2326,69,2186
2327,69,2049
2328,73,2406
2341,67,5843
2342,67,2045
2343,67,990
2361,67,4640
2362,67,6084
2363,67,4480
2364,67,9339
2365,67,10496
2366,67,2831
2367,67,4177
2368,67,1596
2381,69,7814
2382,73,4328
2383,73,4429
2384,69,7200
2385,73,1059
2386,73,1567
2401,74,6326
2402,70,4771
2403,68,4543
2404,70,3368
2405,70,4810
2406,74,2609
2407,70,4393
2408,70,5068
2409,70,3856
2410,68,4820
2411,74,5180
2421,71,2244
2422,71,4053
2423,75,2623
2424,71,3155
2425,75,1136
2426,75,1273
2427,71,1158
2441,76,6283
2442,68,8393
2443,76,3612
2444,68,4350
2445,76,2957
2446,68,4928
2447,68,3102
2448,68,2885
2449,68,1744
2450,68,1706
3201,77,124433
3202,78,22720
3203,79,17173
3204,80,27713
3205,81,33006
3206,80,41177
3207,82,15198
3208,81,12547
3209,83,28490
3210,79,10830
3211,84,19728
3212,80,16153
3213,85,12770
3301,77,9343
3302,86,4094
3303,77,10084
3304,77,9362
3305,77,18837
3306,77,3382
3307,77,6623
3321,77,14738
3322,77,10133
3341,81,3701
3342,81,7804
3361,81,5349
3363,80,1985
3365,80,2032
3381,80,7777
3382,80,7433
3383,80,9058
3384,83,2505
3401,83,7614
3402,83,4280
3421,83,8503
3422,83,5515
3423,83,6652
3424,83,4186
3425,83,3275
3426,83,2322
3441,79,3647
3442,79,3845
3461,84,6824
3462,81,2551
3481,78,2240
3482,78,8432
3483,87,5514
3484,87,1949
3485,82,1617
3486,78,1777
3487,78,1765
3501,85,5454
3502,68,5758
3503,82,2015
3504,82,1579
3505,82,2530
3506,85,3517
3521,85,2648
3523,88,3151
3524,85,7798
4100,89,403358
4202,90,49778
4203,89,27616
4204,91,31433
4205,92,27406
4206,93,18074
4207,89,26564
4208,93,15645
4209,89,26326
4211,89,17138
4301,93,6309
4302,93,880
4321,93,10638
4322,93,5979
4323,93,16448
4324,89,5086
4341,93,8344
4361,89,14244
4362,89,8069
4401,89,7508
4404,89,8714
4406,89,10074
4421,89,9355
4422,89,4181
4423,89,12304
4424,89,2776
4441,94,6446
4442,94,4054
4443,94,2928
4444,94,3739
4461,91,2915
4462,91,3799
4463,91,6109
4481,91,6625
4482,95,4621
4501,91,8367
4502,91,6107
4503,91,8594
4504,91,3168
4521,96,7169
4522,96,6291
4523,96,6615
4524,91,2073
4525,96,4157
4526,91,2302
4527,96,1408
4528,96,3829
4529,96,3245
4530,96,645
4541,97,10134
4542,97,2715
4543,97,3965
4544,97,7394
4545,90,3251
4546,97,5099
4547,96,3033
4548,97,4053
4561,90,5806
4562,90,12385
4563,90,2241
4564,90,7915
4565,90,3853
4566,90,4718
4567,90,1948
4581,90,5920
4582,90,2482
4601,92,6200
4602,92,1872
4603,92,5518
4604,92,3643
4605,92,2275
5201,98,127851
5202,99,23079
5203,100,17534
5204,101,28539
5205,102,20829
5206,98,13349
5207,103,15416
5208,104,17447
5209,101,17801
5303,101,2958
5321,105,10182
5322,101,5528
5323,105,3466
5324,105,2005
5325,101,3726
5326,105,3385
5327,105,1463
5341,99,2874
5342,99,5394
5343,99,2135
5344,99,3905
5345,99,3360
5346,99,2170
5347,99,2320
5361,98,5709
5362,98,4000
5363,98,3215
5364,98,2158
5365,98,8462
5366,98,2721
5367,98,3304
5368,98,1524
5381,98,4853
5382,98,3656
5401,102,5760
5402,102,2482
5403,102,6282
5404,102,3058
5405,98,2889
5406,102,3068
5407,102,2735
5408,102,3191
5409,106,2439
5410,102,4728
5421,104,2782
5422,104,4853
5423,107,6424
5424,104,3169
5425,107,5277
5426,107,6334
5427,104,3992
5428,104,2169
5429,104,3575
5430,107,2524
5431,104,3626
5432,104,4003
5433,104,3717
5441,103,4180
5442,100,6891
5443,100,5103
5444,100,3593
5445,103,6571
5446,100,2195
5447,100,2812
5461,103,5354
5462,103,4262
5463,103,9037
5464,103,1533
5465,103,1491
6201,108,111081
6202,109,42755
6203,110,45461
6204,110,47521
6205,111,18644
6206,108,19780
6207,108,17404
6208,108,13848
6209,109,15291
6210,108,28890
6211,108,20089
6212,112,10636
6213,109,17055
6301,108,7202
6302,108,5652
6321,108,9867
6322,108,3798
6323,108,4609
6324,108,4808
6341,112,4439
6361,111,3391
6362,95,5253
6363,111,3115
6364,111,4885
6365,111,2164
6366,111,2596
6367,111,2981
6381,109,12728
6382,109,9391
6401,113,4973
6402,109,8202
6403,109,4372
6421,110,3369
6422,110,8703
6423,110,5695
6424,110,4703
6425,110,4029
6426,110,3817
6427,110,2848
6441,114,5109
6461,110,8671
6462,110,3685
6463,110,2789
6464,110,3505
7201,115,123062
7202,116,52489
7203,117,140432
7204,118,149791
7205,119,20629
7206,120,22080
7207,121,28849
7208,116,16523
7209,120,17506
7210,117,16192
7301,115,6483
7302,115,4831
7303,115,5356
7304,115,9726
7305,115,11554
7306,115,5044
7307,115,2301
7308,115,9104
7309,115,3196
7321,117,5316
7322,117,3762
7323,117,10029
7324,117,3844
7325,117,4486
7326,117,4026
7341,121,2904
7342,121,5776
7343,121,2754
7344,121,3195
7361,122,6561
7362,122,3707
7363,122,1312
7364,123,413
7365,122,934
7366,122,1524
7367,122,2681
7381,116,3571
7401,116,1734
7402,116,1849
7403,116,4613
7404,116,2236
7405,124,4365
7406,124,1240
7407,116,1915
7408,116,8473
7421,124,9077
7422,116,1724
7423,124,2385
7424,116,4431
7441,116,7300
7442,116,2784
7443,116,2003
7444,124,1187
7445,125,1478
7446,125,914
7461,119,7381
7462,119,3232
7463,119,2747
7464,119,2982
7465,119,2249
7466,119,8814
7467,119,2144
7481,126,7485
7482,126,3170
7483,126,5148
7484,126,2193
7501,121,9369
7502,121,3485
7503,121,3948
7504,126,3573
7505,121,3277
7521,117,9026
7522,127,6222
7523,127,2522
7524,127,2800
7525,127,1442
7526,127,3353
7527,127,11350
7541,118,2462
7542,118,3655
7543,118,7078
7544,118,1673
7545,118,4422
7546,118,3311
7547,118,9817
7548,118,766
7561,120,3989
7562,120,6147
7563,120,6191
7564,120,3355
8201,128,104209
8202,129,84705
8203,130,57080
8204,131,24887
8205,132,23153
8206,133,29202
8207,134,23773
8208,130,27285
8210,135,16218
8211,136,19347
8212,129,17540
8214,129,14871
8215,129,21030
8216,128,13338
8217,136,36226
8218,131,20944
8219,130,27315
8220,130,62884
8221,128,65378
8222,137,25916
8302,128,16565
8303,132,8080
8304,132,10785
8305,128,6360
8306,128,5547
8307,128,3274
8308,128,2231
8309,128,9024
8321,128,14297
8322,132,7295
8323,128,1207
8324,133,10102
8341,128,15080
8342,128,20316
8343,128,3779
8344,138,12318
8345,138,3938
8346,138,2111
8347,138,2157
8361,129,4938
8362,129,3055
8363,129,1984
8364,138,11248
8381,129,5597
8401,139,5508
8402,139,12778
8403,139,4601
8406,137,20359
8407,137,17698
8421,137,7663
8422,137,2729
8423,137,11009
8424,139,5138
8425,139,6368
8441,130,8650
8442,130,7554
8443,130,19675
8445,130,10906
8446,130,4307
8447,130,5104
8448,130,3677
8449,130,5659
8461,130,8772
8462,132,3793
8463,132,12954
8464,130,11959
8465,130,4299
8482,136,11467
8483,136,6082
8501,133,7468
8502,133,8163
8503,133,8919
8504,133,3364
8505,133,7792
8521,135,11284
8522,135,4190
8523,135,10867
8541,131,21688
8542,140,4270
8543,131,16839
8544,131,6573
8546,131,12226
8561,136,18152
8563,136,13615
8564,141,7987
9201,142,190032
9202,143,69647
9203,143,35541
9204,143,35891
9205,143,42093
9206,144,8680
9207,144,26850
9208,134,65146
9209,142,29478
9210,145,24287
9211,142,16407
9212,145,25659
9301,142,12186
9302,134,7845
9303,142,4015
9304,142,14154
9321,143,2991
9322,143,4774
9323,144,1704
9341,142,8042
9342,142,10905
9343,142,8764
9344,142,5884
9345,142,8092
9361,142,17539
9362,142,8956
9363,134,7132
9364,131,10639
9365,143,11975
9366,143,8208
9367,143,8601
9368,143,6334
9382,144,1359
9383,144,7018
9384,142,6521
9385,142,11747
9386,142,12352
9387,142,5012
9401,146,6405
9402,146,9267
9403,146,6782
9404,146,3439
9405,145,2683
9406,145,7353
9407,145,12009
9409,145,17805
9410,145,4538
9421,143,12608
9422,143,5495
10201,147,122938
10202,147,101551
10203,148,51759
10204,148,53498
10205,149,63553
10206,150,20457
10207,149,34266
10208,151,20575
10209,152,27197
10210,153,21157
10211,153,19883
10301,147,4148
10302,151,5400
10303,147,8652
10304,147,6670
10305,147,3697
10306,147,4944
10307,148,6535
10308,148,1251
10309,148,1547
10321,147,9226
10322,147,2327
10323,147,7157
10324,147,14570
10341,151,5145
10342,151,951
10343,151,2626
10344,147,5062
10345,147,6381
10361,152,5249
10362,152,3287
10363,147,10348
10364,154,1077
10365,154,410
10366,154,663
10381,153,2335
10382,153,5383
10383,153,1638
10384,153,6305
10401,153,7392
10421,151,8462
10422,151,1138
10423,151,6804
10424,155,3207
10425,155,5480
10426,155,4297
10427,155,863
10428,151,1713
10441,150,1573
10442,150,2493
10443,150,2655
10444,150,1667
10445,150,4540
10446,150,3568
10447,150,3556
10448,150,3503
10461,148,6787
10462,148,8176
10463,148,13784
10464,147,14084
10481,149,6610
10482,149,12698
10483,148,7815
10484,148,10616
10501,148,9781
10521,149,6854
10522,149,4868
10523,149,5180
10524,149,19797
10525,149,11831
11201,156,138219
11202,157,64836
11203,158,205603
11204,158,197737
11205,158,185567
11206,157,38194
11207,159,24809
11208,160,132319
11209,160,32642
11210,161,27428
11211,152,26127
11212,156,37440
11213,140,47668
11214,140,85402
11215,160,67545
11216,161,23503
11217,157,33265
11218,157,43261
11219,158,90081
11220,158,35911
11221,162,99621
11222,163,130591
11223,158,33351
11224,158,46463
11225,160,58759
11226,158,25525
11227,164,50487
11228,164,28227
11229,164,27240
11230,164,64725
11231,158,31431
11232,161,30100
11233,158,29583
11234,162,34453
11235,164,44394
11236,164,25686
11237,163,58846
11238,158,27266
11239,156,40807
11240,140,24300
11241,156,27386
11242,160,22958
11301,158,13123
11304,157,11946
11322,164,17706
11324,164,15948
11326,156,15831
11327,156,5608
11330,160,1047
11341,156,5402
11342,156,8272
11343,156,15067
11344,156,3542
11345,156,2427
11346,156,9921
11347,156,8952
11348,156,6774
11361,159,4116
11362,159,5276
11363,157,3636
11364,159,2597
11365,159,5241
11366,159,1320
11367,159,830
11368,159,2920
11369,156,1704
11381,152,5185
11382,152,8882
11383,152,5653
11384,152,544
11385,152,12477
11401,157,3051
11402,157,5357
11403,157,12680
11405,157,8006
11406,157,5456
11407,157,5219
11408,157,15073
11421,161,8570
11422,157,1720
11423,157,3434
11424,131,5497
11425,161,6312
11442,140,14322
11445,158,18026
11446,161,9900
11461,140,9394
11462,161,13519
11464,140,19012
11465,163,11584
11466,163,23127
11468,140,15995
12100,162,366517
12202,137,35762
12203,162,204961
12204,162,238587
12205,165,21550
12206,166,52693
12207,162,204890
12208,167,49814
12209,168,21399
12210,169,40087
12211,168,41131
12212,170,66257
12213,171,22245
12214,172,14455
12215,172,18131
12216,162,65867
12217,162,133337
12218,169,9438
12219,166,119295
12220,162,60047
12221,170,66892
12222,162,52187
12223,165,14173
12224,162,43366
12225,166,40645
12226,166,23975
12227,162,56952
12228,170,33621
12229,166,24438
12230,171,27924
12303,167,13446
12305,162,18326
12322,170,8399
12324,168,21224
12325,170,3904
12326,162,19345
12327,170,21240
12328,170,1942
12329,170,9536
12341,168,3692
12342,168,2697
12343,168,6012
12344,168,11267
12345,168,5405
12346,168,2686
12347,168,8299
12348,172,4052
12349,137,7674
12361,172,4987
12362,172,4948
12381,172,5281
12382,172,4444
12402,171,16595
12403,171,8294
12404,171,10144
12405,171,7778
12406,171,2020
12407,171,5227
12408,171,6376
12409,168,4036
12421,169,4838
12422,169,3594
12423,169,5534
12424,169,5599
12426,169,3613
12427,169,4947
12441,169,5130
12442,169,3459
12443,169,3048
12444,169,8751
12445,169,5909
12461,165,2661
12462,165,2735
12463,165,4587
12464,165,1984
12465,165,2798
12466,165,5800
12467,165,2710
12468,165,2822
12472,165,3606
13101,162,16625
13102,162,31561
13103,162,68318
13104,162,125077
13105,162,77213
13106,162,71229
13107,162,103661
13108,162,173515
13109,162,155700
13110,162,112826
13111,162,303390
13112,162,349913
13113,162,89525
13114,162,139083
13115,162,232794
13116,162,112635
13117,162,150396
13118,162,82252
13119,162,234494
13120,162,276314
13121,162,280395
13122,162,194699
13123,162,274721
13201,173,202278
13202,174,67476
13203,162,58815
13204,162,72477
13205,174,58259
13206,175,95041
13207,174,45728
13208,175,86373
13209,176,146467
13210,162,46586
13211,177,71218
13212,173,70073
13213,177,56684
13214,175,44453
13215,175,28390
13216,177,31840
13217,177,42498
13218,174,26396
13219,175,33045
13220,177,32624
13221,177,28042
13222,177,47982
13223,174,28663
13224,175,59424
13225,175,27719
13227,174,24643
13228,174,31182
13303,174,14221
13305,174,6575
13307,174,1379
13308,174,3208
13361,178,4104
13362,179,197
13363,180,1311
13364,181,949
13381,182,1681
13382,183,106
13401,184,4032
13402,185,140
13421,186,1304
14100,162,1430587
14130,162,554034
14201,187,172856
14203,188,107671
14204,188,69100
14205,188,154453
14206,189,86946
14207,188,87799
14208,187,22512
14209,176,249075
14210,187,23124
14211,189,67734
14212,176,89507
14213,176,91328
14214,176,42483
14215,176,50054
14216,176,52531
