municipality,cz,size
1100,1,641069
1202,2,93469
1203,3,41620
1204,4,122741
1205,5,30233
1206,6,59956
1207,7,63321
1208,8,44288
1209,1,3208
1210,1,30532
1211,8,14691
1212,9,9018
1213,10,60524
1214,11,13438
1215,1,8139
1216,12,5210
1217,1,40681
1218,12,3708
1219,13,9380
1220,14,7713
1221,15,11156
1222,1,2934
1223,16,11497
1224,1,34749
1225,12,15438
1226,12,6455
1227,12,1131
1228,17,8360
1229,18,9898
1230,5,17259
1231,1,24613
1233,5,13328
1234,1,20411
1235,1,20242
1236,2,17646
1303,1,6403
1304,1,1236
1331,19,2549
1332,19,1516
1333,2,1981
1334,2,1753
1337,2,10205
1343,2,1598
1345,2,6565
1346,20,7196
1347,20,2211
1361,21,3283
1362,21,1791
1363,21,1719
1364,21,1511
1367,22,1042
1370,23,2337
1371,23,3312
1391,24,549
1392,24,1182
1393,20,1134
1394,25,1938
1395,25,2174
1396,25,1003
1397,25,1070
1398,25,1034
1399,25,1275
1400,25,6370
1401,26,3013
1402,26,5200
1403,26,754
1404,26,385
1405,3,767
1406,3,1137
1407,3,1546
1408,3,7333
1409,3,541
1423,1,3175
1424,12,2141
1425,12,991
1427,1,2308
1428,1,4735
1429,1,4790
1430,1,1430
1431,12,831
1432,12,2535
1433,17,1230
1434,17,972
1436,12,1052
1437,17,808
1438,17,1345
1452,4,2640
1453,4,3968
1454,4,2698
1455,4,1554
1456,4,1183
1457,4,1811
1458,4,3173
1459,4,4327
1460,18,4252
1461,18,2065
1462,18,1053
1463,18,637
1464,14,1461
1465,14,1421
1468,15,1357
1469,15,1875
1470,27,346
1471,27,841
1472,28,669
1481,9,1770
1482,9,1340
1483,29,1338
1484,29,2890
1485,29,484
1486,30,1196
1487,11,1518
1511,31,1303
1512,31,1816
1513,31,726
1514,31,3815
1516,11,1922
1517,32,1385
1518,33,1089
1519,33,1251
1520,11,1117
1543,8,8078
1544,8,1960
1545,34,5655
1546,34,1715
1547,34,2291
1549,8,2327
1550,8,1255
1552,35,2326
1555,35,7816
1559,35,3973
1560,13,1090
1561,13,1722
1562,13,452
1563,13,2104
1564,8,3189
1571,5,1738
1575,5,1169
1578,10,5770
1581,10,2325
1584,5,3676
1585,10,3255
1586,10,3736
1601,36,5512
1602,36,2302
1604,36,2402
1607,37,5651
1608,37,1900
1609,37,2177
1610,36,9170
1631,7,17222
1632,7,2828
1633,7,2118
1634,7,2467
1635,7,2746
1636,7,3927
1637,7,7583
1638,7,1765
1639,7,1546
1641,38,2614
1642,38,2954
1643,7,10954
1644,7,2699
1645,39,1456
1646,40,3139
