municipality,cz,size
1100,1,696831
1202,2,107700
1203,3,51804
1204,4,134420
1205,5,35012
1206,6,72116
1207,7,68491
1208,8,51281
1209,1,4553
1210,9,34865
1211,8,16842
1212,10,11745
1213,11,65490
1214,12,17998
1215,9,10352
1216,13,6614
1217,1,42206
1218,13,4699
1219,14,11242
1220,15,9670
1221,16,12640
1222,9,3736
1223,17,13483
1224,1,34796
1225,13,17881
1226,13,7275
1227,13,1625
1228,18,10388
1229,19,10720
1230,5,18829
1231,1,25037
1233,5,13861
1234,1,21709
1235,1,22889
1236,2,18460
1303,1,7241
1304,9,1592
1331,20,3703
1332,20,1913
1333,2,2099
1334,2,2073
1337,2,10416
1343,2,1730
1345,2,7655
1346,21,8415
1347,21,2570
1361,22,3898
1362,22,2231
1363,22,1962
1364,22,1670
1367,23,1496
1370,24,2743
1371,24,4141
1391,25,668
1392,25,1414
1393,25,1330
1394,26,2349
1395,26,2095
1396,26,1121
1397,26,1188
1398,26,1252
1399,26,1492
1400,26,7213
1401,27,3095
1402,27,6101
1403,27,705
1404,27,452
1405,3,1083
1406,3,1510
1407,3,1698
1408,3,8448
1409,3,650
1423,1,3841
1424,13,2489
1425,13,1335
1427,1,2837
1428,1,5472
1429,1,5988
1430,9,1632
1431,13,1063
1432,13,3072
1433,18,1617
1434,18,1278
1436,13,1148
1437,18,1036
1438,18,1742
1452,4,2986
1453,4,3669
1454,4,3101
1455,4,1912
1456,4,1508
1457,4,2326
1458,4,3303
1459,4,4842
1460,19,4991
1461,19,2536
1462,19,1185
1463,19,819
1464,15,1818
1465,15,1672
1468,16,1596
1469,16,2230
1470,28,412
1471,28,907
1472,29,843
1481,10,2203
1482,10,1709
1483,30,1669
1484,30,3540
1485,30,576
1486,31,1453
1487,31,1811
1511,32,1388
1512,32,2122
1513,32,914
1514,32,4252
1516,12,2154
1517,33,1685
1518,34,1293
1519,34,1579
1520,31,1296
1543,8,9400
1544,8,2466
1545,35,6351
1546,35,2099
1547,35,2606
1549,8,2750
1550,8,1444
1552,36,2839
1555,36,8905
1559,36,4501
1560,14,1303
1561,14,2114
1562,14,501
1563,14,2622
1564,8,3746
1571,5,1802
1575,5,1411
1578,11,7950
1581,11,2357
1584,5,4556
1585,11,3625
1586,11,4598
1601,37,6564
1602,37,2650
1604,38,2581
1607,39,6939
1608,39,2279
1609,39,2501
1610,38,11001
1631,7,17247
1632,7,3086
1633,7,2386
1634,7,2629
1635,7,3008
1636,7,4385
1637,7,7914
1638,7,1745
1639,7,1528
1641,40,2949
1642,40,3421
1643,7,11250
1644,7,3247
1645,41,1662
1646,42,3818
1647,42,3588
1648,42,1164
1649,41,2629
1661,6,8757
1662,43,5904
1663,43,3196
1664,44,3907
1665,44,3941
1667,6,1025
1668,6,4085
1691,45,7410
1692,45,10615
1693,45,2649
1694,46,2983
2201,47,121879
2202,48,77378
2203,49,96592
2204,48,16711
2205,50,23574
2206,51,30255
2207,51,17481
2208,52,24143
2209,50,15939
2210,48,15794
2301,47,5876
2303,47,1175
2304,47,1402
2307,47,2824
2321,50,4838
2323,50,4039
2343,48,711
2361,48,7327
2362,48,5083
2367,48,3918
2381,48,7422
2384,50,6516
2387,50,4714
2401,51,6120
2402,51,7737
2405,51,4667
2406,52,2149
2408,51,8716
2411,51,5520
2412,51,10319
2423,52,2249
2424,52,3265
2425,52,947
2426,52,980
2441,49,5334
2442,49,9012
2443,49,3208
2445,49,9364
2446,49,5698
2450,49,1528
3201,53,123739
3202,54,23814
3203,55,17745
3205,56,45708
3206,56,41555
3207,57,15254
3208,55,14363
3209,56,58211
3210,55,9804
3211,54,15968
3213,58,13956
3214,53,13916
3215,56,57731
3216,53,22646
3301,53,8827
3302,53,3288
3303,53,7289
3321,53,15113
3322,53,12032
3366,56,3127
3381,56,7497
3402,56,3900
3441,55,2837
3461,54,6012
3482,54,7265
3483,59,4346
3484,59,1554
3485,57,1343
3501,58,4547
3503,57,1919
3506,58,3188
3507,49,6954
3524,58,6543
4100,60,384713
4202,61,64856
4203,60,23174
4205,62,30711
4206,63,16435
4207,60,27108
4208,63,14397
4209,60,25458
4211,60,18289
4212,64,37138
4213,64,33091
4214,61,16766
4215,64,58947
4301,63,5667
4302,63,698
4321,63,9833
4322,63,5475
4323,63,15502
4324,63,4533
4341,63,7037
4361,60,14680
4362,60,7169
4401,60,6574
4404,60,8430
4406,60,12988
4421,60,10182
4422,60,4031
4423,60,16717
4424,60,2453
4444,64,3523
4445,64,11730
4501,64,7615
4505,64,10702
4581,61,4371
4606,62,7466
5201,65,129867
5202,66,25164
5203,67,44329
5204,68,33145
5206,65,13782
5207,67,22885
5209,68,15223
5210,69,37671
5211,65,14065
5212,67,39728
5213,68,15611
5214,69,12314
5215,67,13447
5303,68,2528
5327,68,1101
5346,66,1661
5348,66,8537
5349,66,3742
5361,65,4692
5363,65,2813
5366,65,2283
5368,65,1655
