municipality,cz,size
1100,1,591248
1202,2,121869
1203,3,62100
1204,4,137724
1205,5,45806
1206,6,88814
1207,7,65343
1208,8,52997
1209,9,11595
1210,10,36310
1211,11,17432
1212,12,13327
1213,13,59516
1214,14,21378
1215,10,13864
1216,15,11840
1217,1,31535
1218,15,8260
1219,16,13657
1220,17,12640
1221,18,15388
1222,10,7360
1223,19,15881
1224,1,26565
1225,20,19690
1226,20,9275
1227,15,3170
1228,21,13740
1229,22,11618
1230,5,19713
1231,1,17482
1233,23,13119
1234,1,13590
1235,1,16446
1236,2,13840
1303,1,6403
1304,24,1912
1331,25,5230
1332,25,3373
1333,2,2594
1334,2,3125
1337,2,8067
1343,2,1794
1345,2,8269
1346,26,9422
1347,27,3751
1361,28,5065
1362,28,2908
1363,28,2685
1364,28,2287
1367,29,1761
1370,30,3637
1371,30,5764
1391,31,922
1392,31,1822
1393,27,1630
1394,32,3145
1395,32,2143
1396,33,1357
1397,34,1142
1398,34,1588
1399,32,1933
1400,32,7448
1401,35,3193
1402,35,7636
1403,35,1039
1404,35,681
1405,3,1459
1406,3,1954
1407,3,2013
1408,3,9638
1409,3,723
1423,1,2497
1424,20,3478
1425,20,3100
1427,36,3606
1428,36,5616
1429,36,7593
1430,37,2161
1431,37,1555
1432,20,3831
1433,21,2434
1434,21,1820
1436,20,1527
1437,21,1459
1438,21,2483
1452,4,3196
1453,4,2442
1454,4,4413
1455,4,2565
1456,38,2317
1457,38,3815
1458,4,3720
1459,4,6018
1460,22,5262
1461,22,3125
1462,39,1766
1463,39,739
1464,17,2666
1465,17,2359
1468,18,2391
1469,40,3292
1470,40,742
1471,41,1363
1472,42,1470
1481,12,3115
1482,12,2227
1483,43,2347
1484,43,5430
1485,43,904
1486,44,2020
1487,45,2343
1511,46,1403
1512,46,2666
1513,46,1468
1514,47,5007
1516,14,2561
1517,48,2423
1518,49,2122
1519,49,2094
1520,45,1549
1543,11,10487
1544,11,4429
1545,50,6971
1546,50,2831
1547,50,3183
1549,8,3432
1550,8,2362
1552,51,3765
1555,52,11483
1559,52,5510
1560,53,2188
1561,16,2573
1562,54,650
1563,16,3208
1564,11,4208
1571,23,2180
1575,23,1808
1578,5,8653
1581,13,2966
1584,23,6327
1585,13,4029
1586,13,6033
1601,55,7264
1602,55,3179
1604,56,2627
1607,57,7482
1608,57,3006
1609,58,2884
1610,56,12752
1631,7,13870
1632,59,3198
1633,59,3082
1634,60,2835
1635,61,3751
1636,61,5566
1637,7,8552
1638,7,1865
1639,62,1666
1641,63,3311
1642,63,4448
1643,7,9694
1644,7,4674
1645,64,2393
1646,65,5505
1647,65,4926
1648,65,2079
1649,64,3877
1661,6,6682
1662,66,6130
1663,67,3879
1664,68,4924
1665,68,5241
1667,6,1152
1668,6,5609
1691,69,7380
1692,69,8845
1693,69,3213
1694,70,3703
2201,71,123738
2202,72,75683
2203,73,99674
2204,72,16647
2205,74,25559
2206,75,29403
2207,75,17156
2208,76,25788
2209,74,17119
2210,72,15914
2301,71,6734
2303,71,2168
2304,71,1706
2307,71,4773
2321,77,5910
2323,77,5161
2343,72,1131
2361,72,7136
2362,72,6447
2367,72,4167
2381,72,7565
2384,74,6809
2387,74,6535
2401,78,6471
2402,75,9046
2405,75,4693
2406,76,2476
2408,75,8605
2411,78,3731
2412,75,7586
2423,76,2727
2424,76,3482
2425,76,1322
2426,76,1227
2441,73,6242
2442,73,10204
2443,73,3682
2445,73,10039
2446,73,3944
2450,73,1970
3201,79,119056
3202,80,29718
3203,81,21604
3205,82,49034
3206,82,36005
3207,83,17617
3208,84,15814
3209,82,66840
3210,81,11782
3211,80,22165
3213,85,16257
3214,79,15752
3215,82,61815
3216,79,12424
3301,79,9228
3302,86,4921
3303,79,9316
3321,79,13923
3322,79,8977
3366,87,4359
3381,82,8338
3402,82,4318
3441,81,4372
3461,80,6952
3482,80,8424
3483,88,6797
3484,88,2053
3485,83,1643
3501,85,5648
3503,83,1902
3506,85,3691
3507,73,8453
3524,85,8466
4100,89,330238
4202,90,72737
4203,89,24828
4205,91,37265
4206,92,19923
4207,89,20808
4208,92,15313
4209,89,21008
4211,89,14385
4212,93,42787
4213,93,40691
4214,90,14580
4215,94,55785
4301,92,6171
4302,92,1108
4321,92,8515
4322,92,6272
4323,92,14143
4324,95,4863
4341,92,8923
4361,89,11915
4362,89,7400
4401,89,7266
4404,89,7198
4406,89,4858
4421,89,7802
4422,89,4370
4423,89,6598
4424,89,2388
4444,94,4175
4445,94,13363
4501,94,8528
4505,94,11756
4581,90,6331
4606,91,8979
5201,96,123248
5202,97,28621
5203,98,49863
5204,99,39001
5206,96,17929
