municipality,cz,size
1100,1,726056
1202,2,110860
1203,3,57736
1204,4,146051
1205,5,38266
1206,6,76795
1207,7,73714
1208,8,47547
1209,9,5191
1210,10,32817
1211,11,18645
1212,12,12142
1213,13,70524
1214,14,19926
1215,10,11710
1216,15,7605
1217,1,43964
1218,15,5486
1219,16,12288
1220,17,9911
1221,18,11411
1222,10,4508
1223,19,14929
1224,13,35343
1225,15,18866
1226,15,8078
1227,15,1901
1228,20,11706
1229,21,11566
1230,5,20199
1231,13,25083
1233,5,13655
1234,1,21436
1235,1,21585
1303,1,7740
1304,1,1801
1305,1,1125
1306,22,870
1331,23,4168
1332,23,2318
1333,2,2247
1334,2,2430
1335,2,13844
1336,2,4580
1337,2,10892
1339,2,1468
1340,24,1835
1341,24,518
1342,25,2984
1343,2,1694
1344,2,2154
1345,2,6336
1346,26,7696
1347,26,3049
1361,27,4583
1362,27,2656
1363,27,2195
1364,27,2086
1365,27,1303
1366,28,917
1367,29,1589
1368,30,1165
1369,30,2765
1370,30,3030
1391,31,835
1392,31,1460
1393,31,1464
1394,32,2550
1395,32,2017
1396,32,1226
1397,32,1189
1398,32,1281
1399,32,1712
1400,32,7413
1401,33,3163
1402,33,6812
1403,33,696
1404,33,532
1405,3,1235
1406,3,1696
1407,3,1780
1408,3,8925
1409,3,738
1421,10,1845
1422,10,3073
1423,1,3905
1424,15,2930
1425,15,1554
1427,9,3065
1428,9,5574
1429,9,6381
1430,10,2064
1431,15,1173
1432,15,3372
1433,20,1869
1434,20,1457
1436,15,1452
1437,20,1153
1438,20,1976
1439,34,970
1452,4,3187
1453,4,3291
1454,4,3465
1455,4,2084
1456,4,1819
1457,4,2842
1458,4,3401
1459,4,5261
1460,21,5242
1461,21,2639
1462,21,1373
1463,21,1044
1464,17,2057
1465,17,1921
1466,17,839
1467,18,2460
1468,18,1828
1469,18,2592
1470,35,523
1471,36,1209
1481,12,2458
1482,12,1986
1483,37,1977
1484,37,4061
1485,37,706
1486,38,1715
1487,38,2076
1488,14,1394
1511,39,1317
1512,39,2401
1513,39,1102
1514,40,3734
1515,40,1111
1516,14,2371
1517,41,1851
1518,42,1489
1519,42,1559
1541,11,1312
1542,11,2805
1543,11,10195
1544,11,2801
1545,43,6864
1546,43,2330
1547,43,2902
1548,8,2335
1549,8,3008
1550,8,1734
1551,8,3956
1552,44,3120
1553,44,2336
1554,45,1097
1555,45,7233
1556,45,846
1557,46,738
1558,45,2617
1559,45,2309
1560,16,1561
1561,16,2334
1562,16,537
1563,47,2795
1571,5,1754
1572,5,3284
1573,5,928
1574,5,640
1575,5,1548
1578,5,8046
1579,13,2298
1580,13,1544
1581,13,2542
1582,13,3246
1583,48,1638
1601,49,1008
1602,50,2812
1603,50,6239
1604,51,2701
1605,51,9579
1606,52,2381
1607,52,7632
1608,52,2479
1609,53,2769
1631,7,16793
1632,7,3112
1633,7,2600
1634,54,2717
1635,54,3475
1636,54,4886
1637,7,7891
1638,7,1854
1639,7,1570
1640,55,878
1641,55,3121
1642,55,3803
1643,7,10707
1644,7,3755
1645,56,1880
1646,57,4420
1647,57,3702
1648,57,1375
1649,56,3052
1661,6,9369
1662,58,5389
1663,58,3424
1664,59,4267
1665,59,4425
1666,6,3268
1667,6,1124
1668,6,4661
1669,6,1087
1691,60,7704
1692,60,10805
1693,60,2884
1694,61,3142
2201,62,123310
2202,63,74052
2203,64,101586
2204,63,17621
2205,65,20397
2206,66,28795
2207,66,18412
2208,67,20603
2301,62,6521
2302,62,1543
2303,62,1465
2304,62,1527
2305,62,883
2306,62,976
2321,68,5264
2322,65,8251
2323,68,3702
2324,65,2019
2325,68,1060
2326,65,2299
2327,65,1979
2328,65,2273
2341,63,5976
2342,63,2087
2343,63,930
2361,63,4983
2362,63,5611
2363,63,4712
2364,63,9575
2365,63,11119
2366,63,2770
2367,63,4035
2368,63,1416
2381,63,7905
2382,65,4503
2383,65,4239
2384,65,6889
2385,65,1136
2386,65,1523
2401,66,6670
2402,66,4616
2403,64,4518
2404,66,3188
2405,66,4932
2406,66,2363
2407,66,4695
2408,66,5124
2409,66,3874
2410,66,5817
2411,66,6246
2421,67,2071
2422,67,3525
2423,69,2587
2424,67,3059
2425,69,1086
2426,69,1203
2427,67,1048
2441,70,6062
2442,64,8292
2443,70,3559
2444,64,4094
2445,70,2794
2446,64,5759
2447,64,3166
2448,64,2934
2449,64,1583
2450,64,1730
3201,71,125242
3202,72,21661
3203,73,16228
3204,74,27684
3205,75,33750
3206,74,43278
3207,76,14975
3208,75,12537
3209,77,28385
3210,73,10821
3211,78,18266
3212,74,15714
3213,79,12651
3301,71,9440
3302,80,3761
3303,71,7995
3304,71,9086
3305,71,22751
3306,71,3231
3307,71,6474
3321,71,15395
3322,71,11733
3341,75,3256
3342,75,7473
3361,75,5127
3363,81,1716
3365,81,1840
3381,74,7730
3382,74,7276
3383,74,8524
3384,74,2475
3401,77,7436
3402,77,4090
3421,77,7807
3422,77,4810
3423,77,6396
3424,77,3805
3425,77,3036
3426,77,2078
3441,73,3194
3442,73,3361
3461,78,6152
3462,75,2372
3481,72,1859
3482,72,8040
3483,82,4917
3484,82,1675
3485,76,1517
3486,72,1483
3487,72,1381
3501,79,5198
3502,64,5536
3503,76,1828
3504,76,1378
3505,76,2650
3506,79,3446
3521,79,2699
3523,71,2864
3524,79,7248
4100,83,409858
4202,84,48418
4203,83,25779
4204,85,32433
4205,86,26245
4206,87,17498
4207,83,28057
4208,87,15302
4209,83,25954
4211,83,17637
4301,87,5923
4302,87,791
4321,87,9887
4322,87,5685
4323,87,17060
4324,87,4664
4341,87,7645
4361,83,14980
4362,83,7928
4401,83,7218
4404,83,8837
4406,83,12115
4421,83,10135
4422,83,4102
4423,83,15040
4424,83,2665
4441,85,6216
4442,85,3776
4443,85,2702
4444,85,3688
4461,85,2882
4462,85,3774
4463,85,5824
4481,85,6109
4482,85,4097
4501,85,8419
4502,85,5845
4503,85,8506
4504,85,3188
4521,88,6770
4522,88,6075
4523,88,6189
4524,85,1972
4525,88,3804
4526,85,2341
4527,88,1268
4528,88,3513
4529,88,3208
4530,88,613
4541,89,9991
4542,89,2488
4543,89,3427
4544,89,7405
4545,89,3165
4546,89,4723
4547,88,2624
4548,89,4067
4561,84,5309
4562,84,12583
4563,84,1850
