municipality,cz,size
1100,1,726056
1202,2,117665
1203,3,57736
1204,4,146051
1205,5,38266
1206,6,81150
1207,7,73714
1208,8,56174
1209,9,5191
1210,10,37735
1211,11,18645
1212,12,12142
1213,13,70524
1214,14,19926
1215,10,11710
1216,15,7605
1217,1,43964
1218,15,5486
1219,16,12288
1220,17,10750
1221,18,13871
1222,10,4508
1223,19,14929
1224,1,35343
1225,15,18866
1226,15,8078
1227,15,1901
1228,20,11706
1229,21,11566
1230,5,20199
1231,1,25083
1233,5,14295
1234,1,21436
1235,1,23580
1236,2,18424
1303,1,7740
1304,1,1801
1331,22,4168
1332,22,2318
1333,2,2247
1334,2,2430
1337,2,10892
1343,2,1694
1345,2,8490
1346,23,8999
1347,23,3049
1361,24,4583
1362,24,2656
1363,24,2195
1364,24,2086
1367,25,1589
1370,26,3030
1371,26,4847
1391,27,835
1392,27,1460
1393,27,1464
1394,28,2550
1395,28,2017
1396,28,1226
1397,28,1189
1398,28,1281
1399,28,1712
1400,28,7413
1401,29,3163
1402,29,6812
1403,29,696
1404,29,532
1405,3,1235
1406,3,1696
1407,3,1780
1408,3,8925
1409,3,738
1423,1,3905
1424,15,2930
1425,15,1554
1427,9,3065
1428,9,5574
1429,9,6381
1430,10,2064
1431,15,1173
1432,15,3372
1433,20,1869
1434,20,1457
1436,15,1452
1437,20,1153
1438,20,1976
1452,4,3187
1453,4,3291
1454,4,3465
1455,4,2084
1456,4,1819
1457,4,2842
1458,4,3401
1459,4,5261
1460,21,5242
1461,21,2639
1462,21,1373
1463,21,1044
1464,17,2057
1465,17,1921
1468,18,1828
1469,18,2592
1470,30,523
1471,31,1209
1472,32,970
1481,12,2458
1482,12,1986
1483,33,1977
1484,33,4061
1485,33,706
1486,34,1715
1487,34,2076
1511,35,1317
1512,35,2401
1513,35,1102
1514,36,4845
1516,14,2371
1517,37,1851
1518,38,1489
1519,38,1559
1520,14,1394
1543,11,10195
1544,11,2801
1545,39,6864
1546,39,2330
1547,39,2902
1549,8,3008
1550,8,1734
1552,8,3120
1555,40,9914
1559,40,4926
1560,16,1561
1561,16,2334
1562,16,537
1563,41,2795
1564,11,4117
1571,5,1754
1575,5,1548
1578,13,8046
1581,13,2542
1584,5,4212
1585,13,3842
1586,13,4884
1601,42,7247
1602,42,2812
1604,43,2701
1607,44,7632
1608,44,2479
1609,44,2769
1610,43,11960
1631,7,16793
1632,7,3112
1633,7,2600
1634,45,2717
1635,45,3475
1636,45,4886
1637,7,7891
1638,7,1854
1639,7,1570
1641,46,3121
1642,46,3803
1643,7,11585
1644,7,3755
1645,47,1880
1646,48,4420
1647,48,3702
1648,48,1375
1649,47,3052
1661,6,9369
1662,49,5389
1663,49,3424
1664,50,4267
1665,50,4425
1667,6,1124
1668,6,4661
1691,51,7704
1692,51,10805
1693,51,2884
1694,52,3142
2201,53,132885
2202,54,82115
2203,55,104520
2204,54,17621
2205,56,26036
2206,57,31983
2207,57,18412
2208,58,27247
2209,56,16821
2210,54,17247
2301,53,6521
2303,53,1465
2304,53,1527
2307,53,3402
2321,56,5264
2323,56,4762
2343,54,930
2361,54,7753
2362,54,5611
2367,54,4035
2381,56,7905
2384,56,6889
2387,56,5762
2401,57,6670
2402,57,8490
2405,57,4932
2406,58,2363
2408,57,9819
2411,57,6246
2412,57,10335
2423,58,2587
2424,58,3059
2425,58,1086
2426,58,1203
2441,55,6062
2442,55,9875
2443,55,3559
2445,55,10054
2446,55,5759
2450,55,1730
3201,59,131716
3202,60,26384
3203,61,19589
3205,62,49606
3206,62,43278
3207,63,16353
3208,64,14909
3209,62,63753
3210,61,10821
3211,65,18266
3213,66,15350
3214,59,15181
3215,62,61673
3216,59,22751
3301,59,9440
3302,67,3761
3303,59,7995
3321,59,15395
3322,59,11733
3366,62,3556
3381,62,7730
3402,62,4090
3441,61,3194
3461,65,6152
3482,60,8040
3483,60,4917
3484,60,1675
3485,63,1517
