i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,1
1210,1
1211,8
1212,9
1213,10
1214,11
1215,1
1216,12
1217,1
1218,12
1219,13
1220,14
1221,15
1222,1
1223,16
1224,10
1225,12
1226,12
1227,12
1228,17
1229,18
1230,5
1231,10
1233,5
1234,1
1235,1
1236,2
1303,1
1304,1
1331,19
1332,19
1333,2
1334,2
1337,2
1343,2
1345,2
1346,20
1347,20
1361,21
1362,21
1363,21
1364,21
1367,22
1370,23
1371,23
1391,24
1392,24
1393,24
1394,25
1395,25
1396,25
1397,25
1398,25
1399,25
1400,25
1401,26
1402,26
1403,26
1404,26
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,12
1425,12
1427,1
1428,1
1429,1
1430,1
1431,12
1432,12
1433,17
1434,17
1436,12
1437,17
1438,17
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,18
1461,18
1462,18
1463,27
1464,14
1465,14
1468,15
1469,15
1470,15
1471,28
1472,29
1481,9
1482,9
1483,30
1484,30
1485,30
1486,31
1487,31
1511,32
1512,32
1513,32
1514,32
1516,11
1517,33
1518,34
1519,34
1520,11
1543,8
1544,8
1545,35
1546,35
1547,35
1549,8
1550,8
1552,36
1555,36
1559,36
1560,13
1561,13
1562,13
1563,13
1564,8
1571,5
1575,5
1578,10
1581,10
1584,5
1585,10
1586,10
1601,37
1602,37
1604,37
1607,38
1608,38
1609,38
1610,37
1631,7
1632,7
1633,7
1634,27
1635,27
1636,27
1637,7
1638,7
1639,7
1641,39
1642,39
1643,7
1644,7
1645,7
1646,40
1647,40
1648,40
1649,7
1661,6
1662,41
1663,41
1664,6
1665,6
1667,6
1668,6
1691,42
1692,42
1693,42
1694,43
2201,44
2202,45
2203,46
2204,45
2205,47
2206,46
2207,46
2208,48
2209,47
2210,45
2301,44
2303,44
2304,44
2307,44
2321,47
2323,47
2343,45
2361,45
2362,45
2367,45
2381,45
2384,47
2387,47
2401,46
2402,46
2405,46
2406,48
2408,46
2411,46
2412,46
2423,48
2424,48
2425,48
2426,48
2441,46
2442,46
2443,46
2445,46
2446,46
2450,46
3201,49
3202,50
3203,51
3205,49
3206,52
3207,53
3208,51
3209,52
3210,51
3211,50
3213,54
3214,49
3215,52
3216,49
3301,49
3302,54
3303,49
3321,49
3322,49
3366,52
3381,52
3402,52
3441,51
3461,50
3482,50
3483,53
3484,53
3485,53
3501,54
3503,53
3506,54
3507,53
3524,54
4100,55
4202,55
4203,55
4205,56
4206,57
4207,57
4208,57
4209,55
4211,57
4212,56
4213,56
4214,55
4215,55
4301,57
4302,57
4321,57
4322,57
4323,57
4324,57
4341,57
4361,57
4362,57
4401,55
4404,55
4406,55
4421,55
4422,55
4423,55
4424,55
4444,55
4445,55
4501,55
4505,55
4581,55
4606,56
5201,58
5202,58
5203,59
5204,60
5206,58
5207,59
5209,60
5210,61
5211,58
5212,59
5213,60
5214,61
5215,59
5303,60
5327,60
5346,58
5348,58
5349,58
5361,58
5363,58
5366,58
5368,58
5434,59
5463,59
5464,59
6201,62
6202,63
6203,64
6204,64
6205,65
6206,62
6207,62
6208,62
6209,63
6210,62
6211,62
6212,62
6213,63
6301,62
6302,62
6321,62
6322,62
6323,62
6324,62
6341,62
6361,65
6362,65
6363,65
6364,65
6365,65
6366,65
6367,65
6381,63
6382,63
6401,66
6402,63
6403,63
6426,64
6428,64
6461,64
7201,67
7202,68
7203,69
7204,70
7205,71
7207,71
7208,68
7209,70
7210,69
7211,69
7212,70
7213,67
7214,69
7301,67
7303,67
7308,67
7322,69
7342,71
7344,71
