i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,1
1225,15
1226,15
1227,15
1228,20
1229,21
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,10
1331,22
1332,22
1333,2
1334,2
1337,2
1343,2
1345,2
1346,23
1347,23
1361,24
1362,24
1363,24
1364,24
1367,25
1370,26
1371,26
1391,27
1392,27
1393,23
1394,28
1395,28
1396,28
1397,28
1398,28
1399,28
1400,28
1401,29
1402,29
1403,29
1404,29
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,15
1425,15
1427,9
1428,9
1429,9
1430,10
1431,15
1432,15
1433,20
1434,20
1436,15
1437,20
1438,20
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,21
1461,21
1462,21
1463,21
1464,17
1465,17
1468,18
1469,18
1470,18
1471,30
1472,31
1481,12
1482,12
1483,32
1484,32
1485,32
1486,33
1487,33
1511,34
1512,34
1513,34
1514,35
1516,14
1517,36
1518,37
1519,37
1520,33
1543,11
1544,11
1545,38
1546,38
1547,38
1549,8
1550,8
1552,8
1555,39
1559,39
1560,40
1561,16
1562,16
1563,16
1564,11
1571,5
1575,5
1578,13
1581,13
1584,5
1585,13
1586,13
1601,41
1602,41
1604,42
1607,43
1608,43
1609,44
1610,42
1631,7
1632,7
1633,7
1634,45
1635,45
1636,45
1637,7
1638,7
1639,7
1641,46
1642,46
1643,7
1644,7
1645,47
1646,48
1647,48
1648,48
1649,47
1661,6
1662,49
1663,49
1664,50
1665,50
1667,6
1668,6
1691,51
1692,51
1693,51
1694,52
2201,53
2202,54
2203,55
2204,54
2205,56
2206,57
2207,57
2208,58
2209,56
2210,54
2301,53
2303,53
2304,53
2307,53
2321,56
2323,56
2343,54
2361,54
2362,54
2367,54
2381,54
2384,56
2387,56
2401,57
2402,57
2405,57
2406,58
2408,57
2411,57
2412,57
2423,58
2424,58
2425,58
2426,58
2441,55
2442,55
2443,55
2445,55
2446,55
2450,55
3201,59
3202,60
3203,61
3205,62
3206,62
3207,63
3208,64
3209,62
3210,61
3211,60
3213,65
3214,59
3215,62
3216,59
3301,59
3302,66
3303,59
3321,59
3322,59
3366,62
3381,62
3402,62
3441,61
3461,60
3482,60
3483,67
3484,67
3485,63
3501,65
3503,63
3506,65
3507,55
3524,65
4100,68
4202,69
4203,68
4205,70
4206,71
4207,68
4208,71
4209,68
4211,68
4212,72
4213,72
4214,69
4215,72
4301,71
4302,71
4321,71
4322,71
4323,71
4324,68
4341,71
4361,68
4362,68
4401,68
4404,68
4406,68
4421,68
4422,68
4423,68
4424,68
4444,72
4445,72
4501,72
4505,72
4581,69
4606,70
5201,73
5202,74
5203,75
5204,76
5206,73
5207,75
5209,76
5210,77
5211,73
5212,78
5213,79
5214,77
5215,78
5303,76
5327,79
5346,74
5348,74
5349,74
5361,73
5363,73
5366,73
5368,73
5434,78
5463,75
5464,75
6201,80
6202,81
6203,82
6204,82
6205,83
6206,80
6207,80
6208,80
6209,81
6210,80
6211,80
6212,80
6213,81
6301,80
6302,80
6321,80
6322,80
6323,80
6324,80
6341,80
6361,83
6362,83
6363,83
6364,83
6365,83
6366,83
6367,83
6381,81
6382,81
6401,84
6402,81
6403,81
6426,82
6428,82
6461,82
7201,85
7202,86
7203,87
7204,88
7205,89
7207,89
7208,86
7209,90
7210,87
7211,87
7212,90
7213,85
7214,87
7301,85
7303,85
7308,85
7322,87
7342,89
7344,89
