i,cluster
13112,91
13113,91
13114,91
13115,91
13116,91
13117,91
13118,91
13119,91
13120,91
13121,91
13122,91
13123,91
13201,102
13202,103
13203,102
13204,102
13205,103
13206,102
13207,103
13208,102
13209,104
13210,102
13211,105
13212,102
13213,105
13214,102
13215,102
13218,103
13219,102
13220,105
13221,105
13222,105
13223,103
13224,102
13225,102
13227,103
13228,103
13229,105
13303,103
13305,103
13307,103
13308,103
13361,106
13362,107
13363,108
13364,109
13381,110
13382,111
13401,112
13402,113
13421,114
14100,91
14130,91
14150,104
14201,115
14203,116
14204,104
14205,104
14206,116
14207,104
14208,115
14210,115
14211,116
14212,104
14213,104
14214,104
14215,104
14216,104
14217,116
14218,104
14301,115
14321,104
14341,116
14342,116
14361,116
14362,116
14363,116
14364,116
14366,116
14382,116
14383,116
14384,116
14401,104
14402,104
15100,117
15202,118
15204,117
15205,118
15206,117
15208,118
15209,117
15210,119
15211,118
15212,72
15213,117
15216,120
15217,120
15218,117
15222,120
15223,117
15224,121
15225,122
15226,122
15227,72
15307,117
15342,117
15361,117
15385,117
15405,118
15461,122
15482,119
15504,118
15581,72
15586,123
16201,124
16202,125
16204,124
16205,125
16206,124
16207,124
16208,125
16209,125
16210,125
16211,125
16321,124
16322,124
16323,124
16342,124
16343,124
17201,126
17202,127
17203,126
17204,128
17205,128
17206,126
17207,127
17209,126
17210,126
17211,126
17212,126
17324,126
17361,126
17365,126
17384,127
17386,127
17407,127
17461,128
17463,128
18201,129
18202,130
18204,130
18205,129
18206,129
18207,129
18208,129
18209,129
18210,129
18322,129
18382,129
18404,129
18423,129
18442,130
18481,130
18483,130
18501,130
19201,131
19202,132
19204,132
19205,131
19206,133
19207,131
19208,131
19209,131
19210,131
19211,131
19212,133
19213,131
19214,131
19346,131
19364,131
19365,131
19366,134
19368,131
19384,131
19422,132
19423,132
19424,132
19425,132
19429,132
19430,132
19442,133
19443,133
20201,135
20202,136
20203,137
20204,138
20205,139
20206,138
20207,135
20208,140
20209,141
20210,141
20211,135
20212,136
20213,135
20214,138
20215,136
20217,140
20218,137
20219,137
20220,136
20303,140
20304,142
20305,140
20306,140
20307,140
20309,140
20321,140
20323,140
20324,137
20349,137
20350,137
20361,138
20362,138
20363,138
20382,141
20383,141
20384,141
20385,141
20386,141
20388,141
20402,141
20403,139
20404,139
20407,139
20409,139
20410,139
20411,139
20412,139
20413,139
20414,139
20415,139
20416,139
20417,143
20422,144
20423,144
20425,144
20429,144
20430,144
20432,144
20446,136
20448,136
20450,136
20451,136
20452,136
20481,136
20482,136
20485,145
20486,145
20521,137
20541,135
20543,135
20561,135
20562,135
20563,135
20583,135
20588,135
20590,135
20602,119
21201,146
21202,146
21203,147
21204,148
21205,149
21206,144
21207,149
21208,148
21209,146
21210,144
21211,149
21212,148
21213,146
21214,149
21215,146
21216,146
21217,147
21218,146
21219,150
21220,151
21221,146
21302,146
21303,146
21341,146
21361,146
21362,146
21381,146
21382,146
21383,146
21401,146
21403,146
21404,146
21421,146
21501,149
21502,149
21503,149
21504,149
21505,149
21506,151
21507,151
21521,149
21604,147
22100,152
22130,153
22203,154
22205,116
22206,154
22207,134
22208,155
22209,152
22210,134
22211,153
22212,152
22213,153
22214,152
22215,154
22216,153
22219,155
22220,154
22221,156
22222,154
22223,153
22224,153
22225,154
22226,152
22301,155
22302,155
22304,155
22305,155
22306,155
22325,154
22341,154
22342,154
22344,154
22424,152
22429,152
22461,153
23100,157
23201,156
23202,158
23203,157
23204,157
23205,159
23206,157
23207,156
23208,157
23209,158
23210,158
23211,158
23212,158
23213,158
23214,158
23215,157
23216,159
23217,157
23219,157
23220,157
23221,156
23222,159
23223,159
23224,159
23225,158
23226,157
23227,158
23228,157
23229,158
23230,157
23231,156
23232,157
23233,157
23234,157
23235,157
23236,158
23237,157
23238,157
23302,158
23342,157
23361,157
23362,157
23424,157
23425,157
23427,157
23441,159
23442,159
23445,159
23446,159
23447,159
23501,158
23561,156
23562,156
23563,156
24201,160
24202,160
24203,161
24204,161
24205,160
24207,160
24208,162
24209,163
24210,160
24211,161
24212,164
24214,160
24215,161
24216,162
24303,157
24324,160
24341,160
24343,160
24344,160
24441,161
24442,161
24443,161
24461,161
24470,161
24471,161
24472,161
24543,163
24561,164
24562,164
25201,165
25202,165
25203,165
25204,165
25206,165
25207,165
25208,165
25209,165
25210,165
25211,165
