i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,1
1210,9
1211,8
1212,10
1213,11
1214,12
1215,9
1216,13
1217,1
1218,13
1219,14
1220,15
1221,16
1222,9
1223,17
1224,1
1225,13
1226,13
1227,13
1228,18
1229,19
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,9
1331,20
1332,20
1333,2
1334,2
1337,2
1343,2
1345,2
1346,21
1347,21
1361,22
1362,22
1363,22
1364,22
1367,23
1370,24
1371,24
1391,25
1392,25
1393,25
1394,26
1395,26
1396,26
1397,26
1398,26
1399,26
1400,26
1401,27
1402,27
1403,27
1404,27
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,13
1425,13
1427,1
1428,1
1429,1
1430,9
1431,13
1432,13
1433,18
1434,18
1436,13
1437,18
1438,18
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,19
1461,19
1462,19
1463,19
1464,15
1465,15
1468,16
1469,16
1470,16
1471,16
1472,28
1481,10
1482,10
1483,29
1484,29
1485,29
1486,30
1487,30
1511,31
1512,31
1513,31
1514,31
1516,12
1517,32
1518,33
1519,33
1520,30
1543,8
1544,8
1545,34
1546,34
1547,34
1549,8
1550,8
1552,35
1555,35
1559,35
1560,14
1561,14
1562,14
1563,14
1564,8
1571,5
1575,5
1578,11
1581,11
1584,5
1585,11
1586,11
1601,36
1602,36
1604,36
1607,37
1608,37
1609,37
1610,36
1631,7
1632,7
1633,7
1634,7
1635,7
1636,7
1637,7
1638,7
1639,7
1641,38
1642,38
1643,7
1644,7
1645,39
1646,40
1647,40
1648,40
1649,39
1661,6
1662,41
1663,41
1664,6
1665,6
1667,6
1668,6
1691,42
1692,42
1693,42
1694,43
2201,44
2202,45
2203,46
2204,45
2205,47
2206,48
2207,48
2208,49
2209,47
2210,45
2301,44
2303,44
2304,44
2307,44
2321,47
2323,47
2343,45
2361,45
2362,45
2367,45
2381,45
2384,47
2387,47
2401,48
2402,48
2405,48
2406,49
2408,48
2411,48
2412,48
2423,49
2424,49
2425,49
2426,49
2441,46
2442,46
2443,46
2445,46
2446,46
2450,46
3201,50
3202,51
3203,52
3205,53
3206,53
3207,54
3208,52
3209,53
3210,52
3211,51
3213,55
3214,50
3215,53
3216,50
3301,50
3302,55
3303,50
3321,50
3322,50
3366,53
3381,53
3402,53
3441,52
3461,51
3482,51
3483,56
3484,56
3485,54
3501,55
3503,54
3506,55
3507,54
3524,55
4100,57
4202,58
4203,57
4205,59
4206,57
4207,57
4208,57
4209,57
4211,57
4212,60
4213,60
4214,58
4215,60
4301,57
4302,57
4321,57
4322,57
4323,57
4324,57
4341,57
4361,57
4362,57
4401,57
4404,57
4406,57
4421,57
4422,57
4423,57
4424,57
4444,60
4445,60
4501,60
4505,60
4581,58
4606,59
5201,61
5202,62
5203,63
5204,64
5206,61
5207,63
5209,64
5210,65
5211,61
5212,63
5213,64
5214,65
5215,63
5303,64
5327,64
5346,62
5348,62
5349,62
5361,61
5363,61
5366,61
5368,61
5434,63
5463,63
5464,63
6201,66
6202,67
6203,68
6204,68
6205,69
6206,66
6207,66
6208,66
6209,67
6210,66
6211,66
6212,66
6213,67
6301,66
6302,66
6321,66
6322,66
6323,66
6324,66
6341,66
6361,69
6362,69
6363,69
6364,69
6365,69
6366,69
6367,69
6381,67
6382,67
6401,70
6402,67
6403,67
6426,68
6428,68
6461,68
7201,71
7202,72
7203,73
7204,74
7205,75
7207,75
7208,72
7209,74
7210,73
7211,73
7212,74
7213,71
7214,73
7301,71
7303,71
7308,71
7322,73
7342,75
7344,75
