i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,1
1210,1
1211,8
1212,9
1213,10
1214,11
1215,1
1216,12
1217,1
1218,12
1219,13
1220,14
1221,15
1222,1
1223,16
1224,1
1225,12
1226,12
1227,12
1228,17
1229,18
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,1
1331,19
1332,19
1333,2
1334,2
1337,2
1343,2
1345,2
1346,20
1347,20
1361,21
1362,21
1363,21
1364,21
1367,22
1370,23
1371,23
1391,24
1392,24
1393,24
1394,25
1395,25
1396,25
1397,25
1398,25
1399,25
1400,25
1401,26
1402,26
1403,26
1404,26
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,12
1425,12
1427,1
1428,1
1429,1
1430,1
1431,12
1432,12
1433,17
1434,17
1436,12
1437,17
1438,17
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,18
1461,18
1462,18
1463,27
1464,14
1465,14
1468,15
1469,15
1470,15
1471,15
1472,28
1481,9
1482,9
1483,29
1484,29
1485,29
1486,30
1487,11
1511,31
1512,31
1513,31
1514,31
1516,11
1517,32
1518,33
1519,33
1520,11
1543,8
1544,8
1545,34
1546,34
1547,34
1549,8
1550,8
1552,35
1555,35
1559,35
1560,13
1561,13
1562,13
1563,13
1564,8
1571,5
1575,5
1578,10
1581,10
1584,5
1585,10
1586,10
1601,36
1602,36
1604,36
1607,37
1608,37
1609,37
1610,36
1631,7
1632,7
1633,7
1634,7
1635,27
1636,27
1637,7
1638,7
1639,7
1641,38
1642,38
1643,7
1644,7
1645,39
1646,40
1647,40
1648,40
1649,39
1661,6
1662,41
1663,41
1664,42
1665,42
1667,6
1668,6
1691,43
1692,43
1693,43
1694,44
2201,45
2202,46
2203,47
2204,46
2205,48
2206,49
2207,49
2208,50
2209,48
2210,46
2301,45
2303,45
2304,45
2307,45
2321,48
2323,48
2343,46
2361,46
2362,46
2367,46
2381,46
2384,48
2387,48
2401,49
2402,49
2405,49
2406,50
2408,49
2411,49
2412,49
2423,50
2424,50
2425,50
2426,50
2441,47
2442,47
2443,47
2445,47
2446,47
2450,47
3201,51
3202,52
3203,53
3205,54
3206,54
3207,55
3208,53
3209,54
3210,53
3211,52
3213,56
3214,51
3215,54
3216,51
3301,51
3302,51
3303,51
3321,51
3322,51
3366,54
3381,54
3402,54
3441,53
3461,52
3482,52
3483,55
3484,55
3485,55
3501,56
3503,55
3506,56
3507,55
3524,56
4100,57
4202,58
4203,57
4205,59
4206,60
4207,57
4208,60
4209,57
4211,57
4212,59
4213,59
4214,58
4215,57
4301,60
4302,60
4321,60
4322,60
4323,60
4324,60
4341,60
4361,57
4362,57
4401,57
4404,57
4406,57
4421,57
4422,57
4423,57
4424,57
4444,57
4445,57
4501,57
4505,57
4581,58
4606,59
5201,61
5202,62
5203,63
5204,64
5206,61
5207,63
5209,64
5210,65
5211,61
5212,63
5213,64
5214,65
5215,63
5303,64
5327,64
5346,62
5348,62
5349,62
5361,61
5363,61
5366,61
5368,61
5434,63
5463,63
5464,63
6201,66
6202,67
6203,68
6204,68
6205,69
6206,66
6207,66
6208,66
6209,67
6210,66
6211,66
6212,66
6213,67
6301,66
6302,66
6321,66
6322,66
6323,66
6324,66
6341,66
6361,69
6362,69
6363,69
6364,69
6365,69
6366,69
6367,69
6381,67
6382,67
6401,70
6402,67
6403,67
6426,68
6428,68
6461,68
7201,71
7202,72
7203,73
7204,74
7205,75
7207,75
7208,72
7209,76
7210,73
7211,73
7212,76
7213,71
7214,73
7301,71
7303,71
7308,71
7322,73
7342,75
7344,75
