i,cluster
8303,174
8304,174
8305,170
8306,170
8307,170
8308,182
8309,170
8321,180
8322,180
8323,180
8324,175
8341,170
8342,170
8343,183
8344,183
8345,183
8346,183
8347,182
8361,171
8362,171
8363,171
8364,183
8381,171
8401,184
8402,184
8403,185
8404,185
8405,185
8406,185
8407,185
8421,185
8422,185
8423,185
8424,184
8425,174
8441,186
8442,186
8443,172
8444,187
8445,187
8446,177
8447,177
8448,186
8449,186
8461,172
8462,174
8463,174
8464,172
8465,172
8466,172
8481,172
8482,179
8483,179
8484,172
8485,172
8486,172
8501,175
8502,175
8503,175
8504,175
8505,175
8521,178
8522,178
8523,178
8541,173
8542,188
8543,173
8544,181
8546,181
8561,179
8563,179
8564,177
9201,189
9202,190
9203,191
9204,192
9205,191
9206,193
9207,193
9208,176
9209,194
9210,195
9211,189
9212,195
9301,189
9302,176
9303,189
9304,189
9321,191
9322,191
9323,196
9341,194
9342,194
9343,182
9344,194
9345,194
9361,189
9362,189
9363,176
9364,173
9365,191
9366,192
9367,191
9368,191
9381,195
9382,193
9383,193
9384,189
9385,189
9386,189
9387,189
9401,197
9402,197
9403,197
9404,197
9405,195
9406,195
9407,195
9409,195
9421,192
9422,192
10201,198
10202,199
10203,200
10204,201
10205,190
10206,202
10207,190
10208,198
10209,203
10210,204
10211,199
10301,198
10302,198
10303,198
10304,198
10305,198
10306,198
10307,200
10308,200
10309,200
10321,199
10322,199
10323,199
10324,199
10341,198
10342,198
10343,198
10344,198
10345,198
10361,203
10362,203
10363,199
10364,205
10365,205
10366,205
10381,204
10382,204
10383,204
10384,204
10401,199
10421,206
10422,198
10423,206
10424,207
10425,207
10426,207
10427,207
10428,206
10441,202
10442,202
10443,202
10444,202
10445,202
10446,202
10447,202
10448,202
10461,201
10462,201
10463,201
10464,199
10481,190
10482,190
10483,200
10484,200
10501,200
10521,190
10522,190
10523,190
10524,190
10525,190
11201,208
11202,209
11203,210
11204,210
11205,210
11206,211
11207,212
11208,213
11209,213
11210,214
11211,203
11212,208
11213,210
11214,215
11215,213
11216,214
11217,211
11218,209
11219,210
11220,210
11221,216
11222,215
11223,210
11224,210
11225,213
11226,210
11227,217
11228,217
11229,217
11230,217
11231,210
11232,210
11233,211
11234,216
11235,217
11236,217
11237,216
11238,210
11239,208
11301,210
11304,211
11322,217
11324,217
11326,208
11327,208
11328,208
11329,213
11330,213
11341,208
11342,208
11343,208
11344,208
11345,208
11346,208
11347,208
11348,208
11361,212
11362,212
11363,212
11364,212
11365,212
11366,212
11367,212
11368,212
11369,208
11381,203
11382,203
11383,203
11384,203
11385,203
11401,209
11402,209
11403,209
11405,209
11406,209
11407,209
11408,209
11421,214
11422,211
11423,211
11424,173
11425,188
11442,215
11445,210
11446,210
11461,188
11462,210
11463,188
11464,215
11465,215
11466,215
11468,215
12201,218
12202,219
12203,216
12204,220
12205,221
12206,222
12207,216
12208,223
12209,224
12210,225
12211,224
12212,220
12213,218
12214,226
12215,219
12216,220
12217,216
12218,227
12219,222
12220,216
12221,220
12222,216
12223,221
12224,220
12225,222
12226,222
12301,216
12303,223
12305,216
12321,218
12322,220
12323,218
12324,224
12325,220
12326,220
12327,228
12328,228
12329,228
12341,224
12342,224
12343,224
12344,229
12345,229
12346,224
12347,224
12348,219
12349,185
12361,219
12362,219
12381,226
12382,226
12402,218
12403,218
12404,218
12405,218
12406,218
12407,218
12408,218
12409,224
12421,225
12422,225
12423,225
12424,225
12426,225
12427,225
12441,227
12442,227
12443,227
12444,227
12445,227
12461,221
12462,222
12463,222
12464,221
12465,221
12466,221
12467,221
12468,221
12472,221
12481,222
13101,216
13102,216
13103,216
13104,216
13105,216
13106,216
13107,216
13108,216
13109,216
13110,216
13111,216
13112,216
13113,216
13114,216
13115,216
13116,216
13117,216
13118,216
13119,217
13120,216
13121,216
13122,216
13123,216
13201,230
13202,231
13203,232
13204,232
13205,231
13206,233
13207,231
13208,233
13209,234
13210,232
13211,235
13212,230
13213,235
13214,232
13215,232
13216,235
13217,235
13218,231
13219,233
13220,235
13221,235
13222,235
13223,231
13224,233
13225,233
13226,231
13302,231
13303,231
13305,231
13306,231
13307,231
13308,231
13361,236
13362,237
13363,238
13364,239
13381,240
13382,241
13401,242
13402,243
13421,244
14100,216
14130,216
14201,245
14203,246
14204,245
14205,234
14206,247
14207,246
14208,245
14209,234
14210,245
14211,247
14212,234
14213,234
14214,234
14215,234
14216,234
14217,247
14218,234
14301,245
14321,246
14341,246
14342,246
14361,246
14362,247
14363,247
14364,247
14366,247
14382,247
14383,247
14384,247
14401,234
14402,234
14421,234
14422,234
14423,230
14424,230
15201,248
15202,249
15204,250
15205,251
15206,252
15207,248
15208,249
15209,250
15210,253
15211,249
15212,254
15213,255
15215,256
15216,257
15217,258
15218,259
15219,260
15220,248
15221,248
15222,261
15301,248
15302,248
15303,248
15304,248
15306,252
15307,252
15308,252
15309,252
15310,254
15311,254
15321,248
15322,259
15323,248
15324,248
15341,255
15342,255
15343,255
15344,255
15345,255
15346,255
15347,248
15348,248
15349,255
15350,248
15351,255
15361,250
15362,250
15363,250
15364,249
15381,259
15382,259
15383,259
15384,259
15401,249
15402,249
15403,249
15404,255
15405,255
15406,255
15421,249
15441,249
15442,262
15443,262
15444,262
15445,262
15446,262
15447,262
15461,263
15462,263
15463,263
15464,263
15481,253
15482,253
15483,253
15501,251
15502,249
15504,251
15505,251
15521,261
15522,261
15523,264
15524,264
15525,261
15526,261
15541,261
15542,261
15543,261
15544,261
15545,258
15546,258
15547,258
15548,258
15549,261
15550,261
15561,257
15562,257
15563,257
15581,254
15582,254
15583,254
15584,254
15585,149
15586,265
15601,260
15602,260
15603,260
15604,260
15605,260
15606,260
15607,266
15608,266
15609,266
16201,267
16202,268
16203,268
16204,269
16205,268
16206,267
16207,269
16208,270
16209,268
16301,267
16302,267
16321,267
16322,267
16323,267
16341,269
16342,269
16343,269
16361,267
16362,267
16363,267
16364,267
16381,268
16382,268
16383,268
16384,268
16401,270
16402,271
16403,271
16404,272
16405,270
16406,270
16407,270
16408,270
16421,270
16422,268
17201,273
17202,274
17203,275
17204,276
17205,276
17206,275
17207,277
17208,273
17301,275
17321,275
17322,275
17323,275
17324,273
