i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,1
1225,15
1226,15
1227,15
1228,20
1229,21
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,1
1331,22
1332,22
1333,2
1334,2
1337,2
1343,2
1345,2
1346,23
1347,23
1361,24
1362,24
1363,24
1364,24
1367,25
1370,26
1371,26
1391,27
1392,27
1393,27
1394,28
1395,28
1396,28
1397,28
1398,28
1399,28
1400,28
1401,29
1402,29
1403,29
1404,29
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,15
1425,15
1427,9
1428,9
1429,9
1430,10
1431,15
1432,15
1433,20
1434,20
1436,15
1437,20
1438,20
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,21
1461,21
1462,21
1463,21
1464,17
1465,17
1468,18
1469,18
1470,30
1471,31
1472,32
1481,12
1482,12
1483,33
1484,33
1485,33
1486,34
1487,34
1511,35
1512,35
1513,35
1514,36
1516,14
1517,37
1518,38
1519,38
1520,14
1543,11
1544,11
1545,39
1546,39
1547,39
1549,8
1550,8
1552,8
1555,40
1559,40
1560,16
1561,16
1562,16
1563,41
1564,11
1571,5
1575,5
1578,13
1581,13
1584,5
1585,13
1586,13
1601,42
1602,42
1604,43
1607,44
1608,44
1609,44
1610,43
1631,7
1632,7
1633,7
1634,45
1635,45
1636,45
1637,7
1638,7
1639,7
1641,46
1642,46
1643,7
1644,7
1645,47
1646,48
1647,48
1648,48
1649,47
1661,6
1662,49
1663,49
1664,50
1665,50
1667,6
1668,6
1691,51
1692,51
1693,51
1694,52
2201,53
2202,54
2203,55
2204,54
2205,56
2206,57
2207,57
2208,58
2209,56
2210,54
2301,53
2303,53
2304,53
2307,53
2321,56
2323,56
2343,54
2361,54
2362,54
2367,54
2381,56
2384,56
2387,56
2401,57
2402,57
2405,57
2406,58
2408,57
2411,57
2412,57
2423,58
2424,58
2425,58
2426,58
2441,55
2442,55
2443,55
2445,55
2446,55
2450,55
3201,59
3202,60
3203,61
3205,62
3206,62
3207,63
3208,64
3209,62
3210,61
3211,65
3213,66
3214,59
3215,62
3216,59
3301,59
3302,59
3303,59
3321,59
3322,59
3366,62
3381,62
3402,62
3441,61
3461,65
3482,60
3483,60
3484,60
3485,63
3501,66
3503,63
3506,66
3507,55
3524,66
4100,67
4202,68
4203,67
4205,69
4206,70
4207,67
4208,70
4209,67
4211,67
4212,71
4213,71
4214,68
4215,71
4301,70
4302,70
4321,70
4322,70
4323,70
4324,70
4341,70
4361,67
4362,67
4401,67
4404,67
4406,67
4421,67
4422,67
4423,67
4424,67
4444,71
4445,71
4501,71
4505,71
4581,68
4606,69
5201,72
5202,73
5203,74
5204,75
5206,72
5207,74
5209,75
5210,76
5211,72
5212,74
5213,75
5214,76
5215,74
5303,75
5327,75
5346,73
5348,73
5349,73
5361,72
5363,72
5366,72
5368,72
5434,74
5463,74
5464,74
6201,77
6202,78
6203,79
6204,79
6205,80
6206,77
6207,77
6208,77
6209,78
6210,77
6211,77
6212,77
6213,78
6301,77
6302,77
6321,77
6322,77
6323,77
6324,77
6341,77
6361,80
6362,80
6363,80
6364,80
6365,80
6366,80
6367,80
6381,78
6382,78
6401,81
6402,78
6403,78
6426,79
6428,79
6461,79
7201,82
7202,83
7203,84
7204,85
7205,86
7207,86
7208,83
7209,87
7210,84
7211,84
7212,85
7213,82
7214,84
7301,82
7303,82
7308,82
7322,84
7342,86
7344,86
