i,cluster
1100,1
1202,2
1203,3
1204,4
1205,5
1206,6
1207,7
1208,8
1209,9
1210,10
1211,11
1212,12
1213,13
1214,14
1215,10
1216,15
1217,1
1218,15
1219,16
1220,17
1221,18
1222,10
1223,19
1224,1
1225,20
1226,20
1227,15
1228,21
1229,22
1230,5
1231,1
1233,5
1234,1
1235,1
1236,2
1303,1
1304,23
1331,24
1332,24
1333,2
1334,2
1337,2
1343,2
1345,2
1346,25
1347,26
1361,27
1362,27
1363,27
1364,27
1367,28
1370,29
1371,29
1391,30
1392,30
1393,26
1394,31
1395,31
1396,32
1397,33
1398,33
1399,31
1400,31
1401,34
1402,34
1403,34
1404,34
1405,3
1406,3
1407,3
1408,3
1409,3
1423,1
1424,20
1425,20
1427,35
1428,35
1429,35
1430,36
1431,36
1432,20
1433,21
1434,21
1436,20
1437,21
1438,21
1452,4
1453,4
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,22
1461,22
1462,22
1463,22
1464,17
1465,17
1468,18
1469,37
1470,37
1471,38
1472,39
1481,12
1482,12
1483,40
1484,40
1485,40
1486,41
1487,42
1511,43
1512,43
1513,43
1514,44
1516,14
1517,45
1518,46
1519,46
1520,42
1543,11
1544,11
1545,47
1546,47
1547,47
1549,8
1550,8
1552,48
1555,49
1559,49
1560,50
1561,16
1562,16
1563,16
1564,11
1571,5
1575,5
1578,5
1581,13
1584,5
1585,13
1586,13
1601,51
1602,51
1604,52
1607,53
1608,53
1609,54
1610,52
1631,7
1632,55
1633,55
1634,56
1635,57
1636,57
1637,7
1638,7
1639,58
1641,59
1642,59
1643,7
1644,7
1645,60
1646,61
1647,61
1648,61
1649,60
1661,6
1662,62
1663,63
1664,64
1665,64
1667,6
1668,6
1691,65
1692,65
1693,65
1694,66
2201,67
2202,68
2203,69
2204,68
2205,70
2206,71
2207,71
2208,72
2209,70
2210,68
2301,67
2303,67
2304,67
2307,67
2321,73
2323,73
2343,68
2361,68
2362,68
2367,68
2381,68
2384,70
2387,70
2401,74
2402,71
2405,71
2406,72
2408,71
2411,74
2412,71
2423,72
2424,72
2425,72
2426,72
2441,69
2442,69
2443,69
2445,69
2446,69
2450,69
3201,75
3202,76
3203,77
3205,78
3206,78
3207,79
3208,80
3209,78
3210,77
3211,76
3213,81
3214,75
3215,78
3216,75
3301,75
3302,82
3303,75
3321,75
3322,75
3366,83
3381,78
3402,78
3441,77
3461,76
3482,76
3483,84
3484,84
3485,79
3501,81
3503,79
3506,81
3507,69
3524,81
4100,85
4202,86
4203,85
4205,87
4206,88
4207,85
4208,88
4209,85
4211,85
4212,89
4213,89
4214,86
4215,90
4301,88
4302,88
4321,88
4322,88
4323,88
4324,91
4341,88
4361,85
4362,85
4401,85
4404,85
4406,85
4421,85
4422,85
4423,85
4424,85
4444,90
4445,90
4501,90
4505,90
4581,86
4606,87
5201,92
5202,93
5203,94
5204,95
5206,92
5207,94
5209,95
5210,96
5211,92
5212,97
5213,98
5214,96
5215,97
5303,95
5327,98
5346,93
5348,93
5349,93
5361,92
5363,92
5366,92
5368,92
5434,97
5463,94
5464,94
6201,99
6202,100
6203,101
6204,101
6205,102
6206,99
6207,99
6208,99
6209,100
6210,99
6211,99
6212,103
6213,100
6301,99
6302,99
6321,99
6322,99
6323,99
6324,99
6341,103
6361,102
6362,104
6363,102
6364,102
6365,102
6366,102
6367,102
6381,100
6382,100
6401,105
6402,100
6403,100
6426,101
6428,101
6461,101
7201,106
7202,107
7203,108
7204,109
7205,110
7207,110
7208,107
7209,111
7210,108
7211,112
7212,111
7213,106
7214,108
7301,106
7303,106
7308,106
7322,108
7342,110
7344,110
